adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,9188.39,9121.3,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,133.9,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,1.47,9121.3,No Band,8209.2,10033.4,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9121.3,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,133.9,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,1.47,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9121.3,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,133.9,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,1.47,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9121.3,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,133.9,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,1.47,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9121.3,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,133.9,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,1.47,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9121.3,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,133.9,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,1.47,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9228.45,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,26.75,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,0.29,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9188.39,9228.45,25-JUL-19,13-JUL-19,9228.45,,,,,642.0,,,,,26.75,9228.45,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9260.3,9121.3,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9255.2,5612.0,N,,,9141.0,0.29,9121.3,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,,,,,,,,,,,EQ,,BAJAJFINSV,642.0,,13539.18,147351.0,7.5
,12.5,9221.33,9228.45,25-JUL-19,13-JUL-19,9203.3,9203.0,9201.7,9201.65,9201.15,4.0,1.0,5.0,3.0,1.0,-23.70,0.0,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9254.5,9203.0,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9204.75,5612.0,N,,,9254.5,-0.26,9228.45,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,9204.7,9209.0,9209.05,9209.15,9210.6,10.0,1.0,3.0,4.0,13.0,EQ,,BAJAJFINSV,20901.0,19950.0,426.3,4623.0,7.5
,12.5,9215.97,9228.45,25-JUL-19,13-JUL-19,9203.3,9201.8,9201.75,9200.2,9200.05,1.0,5.0,1.0,4.0,4.0,-23.25,0.0,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9254.5,9198.05,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9205.2,5612.0,N,,,9254.5,-0.25,9228.45,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,9205.85,9206.0,9207.0,9207.5,9208.9,3.0,5.0,20.0,13.0,3.0,EQ,,BAJAJFINSV,26034.0,23283.0,613.97,6662.0,7.5
,12.5,9215.4,9228.45,25-JUL-19,13-JUL-19,9217.2,9215.0,9213.3,9213.25,9212.8,1.0,24.0,3.0,5.0,15.0,-9.50,0.0,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9254.5,9198.05,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9218.95,5612.0,N,,,9254.5,-0.10,9228.45,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,9218.45,9218.5,9219.0,9219.2,9219.95,5.0,5.0,5.0,125.0,25.0,EQ,,BAJAJFINSV,35771.0,30788.0,730.97,7932.0,7.5
,12.5,9213.54,9228.45,25-JUL-19,13-JUL-19,9205.0,9203.2,9203.05,9203.0,9202.45,3.0,3.0,4.0,40.0,30.0,-23.45,0.0,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9254.5,9198.05,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9205.0,5612.0,N,,,9254.5,-0.25,9228.45,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,9207.0,9207.15,9208.0,9208.1,9209.65,1.0,1.0,50.0,1.0,3.0,EQ,,BAJAJFINSV,36833.0,31526.0,994.33,10792.0,7.5
,12.5,9212.78,9228.45,25-JUL-19,13-JUL-19,9203.0,9202.15,9202.05,9202.0,9201.95,26.0,3.0,5.0,41.0,12.0,-25.30,0.0,27-NOV-19,10-DEC-18,55806.03,Bajaj Finserv Limited,Listed,0,0,0,9254.5,9198.05,43155.0,29.29,11-JUL-19,5.0,5.0,9260.3,,False,INE918I01018,9203.15,5612.0,N,,,9254.5,-0.27,9228.45,No Band,8305.65,10151.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,147351.0,,27-Nov-2019 00:00:00,5.15,9207.3,9207.35,9207.5,9207.8,9208.1,5.0,7.0,11.0,11.0,1.0,EQ,,BAJAJFINSV,40772.0,34247.0,1088.49,11815.0,7.5
