adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.94,95.07,91.7,02-AUG-19,27-JUL-19,,,,,,,,,,,4.0,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,4.36,91.7,No Band,82.55,100.85,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,95.07,91.7,02-AUG-19,27-JUL-19,,,,,,,,,,,4.0,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,4.36,91.7,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,95.07,91.7,02-AUG-19,27-JUL-19,,,,,,,,,,,4.0,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,4.36,91.7,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,95.07,91.7,02-AUG-19,27-JUL-19,,,,,,,,,,,4.0,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,4.36,91.7,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,95.07,91.7,02-AUG-19,27-JUL-19,,,,,,,,,,,4.0,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,4.36,91.7,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,95.07,91.7,02-AUG-19,27-JUL-19,,,,,,,,,,,4.0,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,4.36,91.7,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,95.07,95.85,02-AUG-19,27-JUL-19,,,,,,,,,,,-0.15,95.85,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,92.0,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,95.7,82.5,N,,,92.25,-0.16,91.7,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,95.85,,,,,3734.0,,,,,EQ,,EQUITAS,,3734.0,5659.9,5953398.0,9.94
,14.94,96.06,95.85,02-AUG-19,27-JUL-19,96.05,96.0,95.95,95.9,95.85,1036.0,2327.0,520.0,601.0,5687.0,0.25,0.0,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.4,95.7,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,96.1,82.5,N,,,95.85,0.26,95.85,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,96.1,96.2,96.25,96.4,96.45,400.0,89.0,180.0,1777.0,1121.0,EQ,,EQUITAS,103181.0,126051.0,12.39,12896.0,9.94
,14.94,96.33,95.85,02-AUG-19,27-JUL-19,96.25,96.2,96.15,96.1,96.05,23.0,200.0,3303.0,4171.0,3140.0,0.5,0.0,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,95.7,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,96.35,82.5,N,,,95.85,0.52,95.85,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,96.35,96.4,96.45,96.5,96.55,520.0,781.0,11419.0,7768.0,2427.0,EQ,,EQUITAS,343548.0,413558.0,115.01,119392.0,9.94
,14.94,96.32,95.85,02-AUG-19,27-JUL-19,96.2,96.15,96.1,96.05,96.0,36.0,3573.0,5135.0,3851.0,15748.0,0.4,0.0,14-JUN-19,14-NOV-19,3275.46,Equitas Holdings Limited,Listed,0,0,0,96.7,95.7,1872850.0,31.46,25-JUL-19,5.0,10.0,143.65,,False,INE988K01017,96.25,82.5,N,,,95.85,0.42,95.85,No Band,86.3,105.4,ANNUAL GENERAL MEETING,5953398.0,,27-Nov-2019 00:00:00,9.94,96.25,96.3,96.35,96.4,96.45,336.0,478.0,1041.0,10564.0,7578.0,EQ,,EQUITAS,352607.0,420193.0,120.01,124591.0,9.94
