adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,447.0,546.3,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,447.0,546.3,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,496.65,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,10.35,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,2.08,496.65,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,499.65,505.9,30-AUG-19,23-AUG-19,505.9,,,,,4555.0,,,,,1.1,505.9,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,509.25,488.0,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,507.0,308.35,N,,,493.0,0.22,496.65,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,,,,,,,,,,,EQ,,BPCL,4555.0,,60996.9,12207925.0,9.6
,14.6,506.19,505.9,30-AUG-19,23-AUG-19,505.2,505.15,505.1,505.05,505.0,340.0,50.0,494.0,752.0,5495.0,-0.70,0.0,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,507.0,505.15,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,505.2,308.35,N,,,506.5,-0.14,505.9,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,505.6,505.65,505.7,505.75,505.8,280.0,80.0,7.0,228.0,251.0,EQ,,BPCL,200299.0,244435.0,357.61,70648.0,9.6
,14.6,505.33,505.9,30-AUG-19,23-AUG-19,505.0,504.95,504.9,504.85,504.8,617.0,69.0,546.0,298.0,318.0,-0.90,0.0,21-NOV-19,23-AUG-19,40604.72,Bharat Petroleum Corporation Limited,Listed,0,0,0,507.0,503.2,2082600.0,17.06,21-AUG-19,5.0,10.0,549.0,,False,INE029A01011,505.0,308.35,N,,,506.5,-0.18,505.9,No Band,455.35,556.45,DIVIDEND - RS 8 PER SHARE,12207925.0,,27-Nov-2019 00:00:00,9.6,505.2,505.25,505.3,505.35,505.4,40.0,6.0,107.0,1488.0,627.0,EQ,,BPCL,275885.0,313821.0,1375.57,272212.0,9.6
