adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,56.85,69.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,67.3,63.15,12-JUN-19,06-JUN-19,68.25,,,,,434612.0,,,,,5.25,68.25,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.0,65.65,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.4,29.0,N,,,68.1,8.31,63.15,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,,,,,,,,,,,EQ,,YESBANK,434612.0,,171354.01,254612192.0,24.61
22.84,58.35,69.35,68.25,12-JUN-19,06-JUN-19,69.05,69.0,68.95,68.9,68.85,73413.0,378579.0,15683.0,45586.0,24851.0,0.9,0.0,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.8,68.95,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,69.15,29.0,N,,,69.0,1.32,68.25,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,69.15,69.2,69.25,69.3,69.35,37447.0,69159.0,129014.0,80020.0,147541.0,EQ,,YESBANK,5626670.0,10586225.0,8968.59,12932363.0,24.61
22.84,58.35,69.19,68.25,12-JUN-19,06-JUN-19,68.85,68.8,68.75,68.7,68.65,79411.0,113060.0,113274.0,165922.0,54086.0,0.6,0.0,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.8,68.7,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.85,29.0,N,,,69.0,0.88,68.25,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,68.9,68.95,69.0,69.05,69.1,2195.0,91242.0,334600.0,32341.0,66142.0,EQ,,YESBANK,6530934.0,11771515.0,13512.49,19529542.0,24.61
22.84,58.35,69.16,68.25,12-JUN-19,06-JUN-19,68.8,68.75,68.7,68.65,68.6,138861.0,169799.0,208104.0,77057.0,112551.0,0.6,0.0,03-APR-19,01-OCT-19,14272.81,Yes Bank Limited,Listed,0,0,0,69.8,68.7,59307987.0,23.29,03-JUN-19,10.9,2.0,286.0,,False,INE528G01027,68.85,29.0,N,,,69.0,0.88,68.25,No Band,61.45,75.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,254612192.0,,27-Nov-2019 00:00:00,24.61,68.85,68.9,68.95,69.0,69.05,10173.0,157486.0,159198.0,431693.0,23429.0,EQ,,YESBANK,6868193.0,13347312.0,14886.16,21524239.0,24.61
