adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,92.6,113.1,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,107.3,102.85,29-JUL-19,23-JUL-19,,,,,,,,,,,4.8,107.7,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.8,103.5,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.65,78.6,N,,,104.0,4.67,102.85,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.7,,,,,1618.0,,,,,EQ,,L&amp;TFH,,1618.0,26276.57,24488885.0,10.87
,15.87,108.09,107.7,29-JUL-19,23-JUL-19,107.85,107.8,107.75,107.7,107.65,496.0,5848.0,3313.0,10120.0,7776.0,0.15,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,108.45,107.75,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,107.85,78.6,N,,,108.0,0.14,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,107.9,108.0,108.05,108.1,108.15,3129.0,32502.0,6084.0,14177.0,6056.0,EQ,,L&amp;TFH,576458.0,871395.0,426.15,394258.0,10.87
,15.87,108.42,107.7,29-JUL-19,23-JUL-19,109.35,109.3,109.25,109.2,109.15,5139.0,21695.0,15143.0,17095.0,20457.0,1.75,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.5,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.45,78.6,N,,,108.0,1.62,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.45,109.5,109.55,109.6,109.65,6265.0,15480.0,7744.0,14960.0,11393.0,EQ,,L&amp;TFH,2581706.0,778112.0,1201.0,1107725.0,10.87
,15.87,108.42,107.7,29-JUL-19,23-JUL-19,109.35,109.3,109.25,109.2,109.15,5139.0,21695.0,15143.0,17095.0,20457.0,1.75,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.5,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.45,78.6,N,,,108.0,1.62,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.45,109.5,109.55,109.6,109.65,6265.0,15480.0,7744.0,14960.0,11393.0,EQ,,L&amp;TFH,2581706.0,778112.0,1201.0,1107725.0,10.87
,15.87,109.04,107.7,29-JUL-19,23-JUL-19,109.3,109.25,109.2,109.15,109.1,1407.0,12545.0,21237.0,22135.0,15819.0,1.65,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.35,78.6,N,,,108.0,1.53,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.35,109.4,109.45,109.5,109.55,152.0,5721.0,13080.0,25723.0,10072.0,EQ,,L&amp;TFH,2759488.0,1200444.0,2930.16,2687238.0,10.87
,15.87,109.07,107.7,29-JUL-19,23-JUL-19,109.1,109.05,109.0,108.95,108.9,11773.0,7650.0,66549.0,14487.0,18848.0,1.4,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.1,78.6,N,,,108.0,1.3,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.2,109.25,109.3,109.35,109.4,9660.0,8508.0,12939.0,12504.0,22512.0,EQ,,L&amp;TFH,2888583.0,1526673.0,3299.92,3025504.0,10.87
,15.87,109.05,107.7,29-JUL-19,23-JUL-19,108.85,108.8,108.75,108.7,108.65,1024.0,17873.0,11793.0,38167.0,23185.0,1.2,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,108.9,78.6,N,,,108.0,1.11,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,108.9,108.95,109.0,109.05,109.1,7306.0,12344.0,26860.0,18072.0,19658.0,EQ,,L&amp;TFH,2931867.0,1654363.0,3632.58,3331116.0,10.87
,15.87,109.06,107.7,29-JUL-19,23-JUL-19,109.3,109.25,109.2,109.15,109.1,1150.0,13225.0,14315.0,16291.0,19140.0,1.6,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.3,78.6,N,,,108.0,1.49,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.35,109.4,109.45,109.5,109.55,3328.0,14729.0,15047.0,25164.0,14550.0,EQ,,L&amp;TFH,3168895.0,1788755.0,4103.33,3762453.0,10.87
,15.87,109.05,107.7,29-JUL-19,23-JUL-19,108.9,108.85,108.8,108.75,108.7,54.0,2667.0,10458.0,15377.0,42178.0,1.25,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,108.95,78.6,N,,,108.0,1.16,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,108.95,109.0,109.05,109.1,109.15,2880.0,26520.0,10722.0,11659.0,17343.0,EQ,,L&amp;TFH,3016416.0,1942914.0,4462.07,4091767.0,10.87
,15.87,109.05,107.7,29-JUL-19,23-JUL-19,108.9,108.85,108.8,108.75,108.7,54.0,2667.0,10458.0,15377.0,42178.0,1.25,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,108.95,78.6,N,,,108.0,1.16,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,108.95,109.0,109.05,109.1,109.15,2880.0,26520.0,10722.0,11659.0,17343.0,EQ,,L&amp;TFH,3016416.0,1942914.0,4462.07,4091767.0,10.87
,15.87,108.9,107.7,29-JUL-19,23-JUL-19,108.05,108.0,107.95,107.9,107.85,1341.0,20507.0,16561.0,11576.0,18736.0,0.45,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,108.15,78.6,N,,,108.0,0.42,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,108.15,108.2,108.25,108.3,108.35,4373.0,5130.0,15692.0,20667.0,17785.0,EQ,,L&amp;TFH,2825383.0,2067905.0,5657.05,5194720.0,10.87
,15.87,108.88,107.7,29-JUL-19,23-JUL-19,108.85,108.8,108.75,108.7,108.65,1787.0,4622.0,12221.0,18421.0,19864.0,1.2,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,108.9,78.6,N,,,108.0,1.11,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,108.95,109.0,109.05,109.1,109.15,10680.0,30936.0,16028.0,14605.0,16779.0,EQ,,L&amp;TFH,3162880.0,1956088.0,5954.83,5469170.0,10.87
,15.87,108.88,107.7,29-JUL-19,23-JUL-19,108.9,108.85,108.8,108.75,108.7,1348.0,5261.0,14181.0,14542.0,17727.0,1.2,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,108.9,78.6,N,,,108.0,1.11,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,108.95,109.0,109.05,109.1,109.15,1949.0,11254.0,18897.0,23023.0,17561.0,EQ,,L&amp;TFH,3186844.0,1956343.0,6000.3,5510929.0,10.87
,15.87,108.89,107.7,29-JUL-19,23-JUL-19,109.15,109.1,109.05,109.0,108.95,1650.0,15471.0,11339.0,36981.0,15407.0,1.5,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.2,78.6,N,,,108.0,1.39,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.2,109.25,109.3,109.35,109.4,6816.0,15777.0,17231.0,20537.0,58504.0,EQ,,L&amp;TFH,3276983.0,2015757.0,6260.35,5749245.0,10.87
,15.87,108.9,107.7,29-JUL-19,23-JUL-19,109.25,109.2,109.15,109.1,109.05,4231.0,2402.0,14102.0,19025.0,16876.0,1.55,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.25,78.6,N,,,108.0,1.44,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.3,109.35,109.4,109.45,109.5,18166.0,15998.0,50884.0,24910.0,51151.0,EQ,,L&amp;TFH,3312325.0,2052348.0,6480.34,5950729.0,10.87
,15.87,108.91,107.7,29-JUL-19,23-JUL-19,109.45,109.4,109.35,109.3,109.25,1827.0,30445.0,17609.0,13446.0,13167.0,1.8,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.5,78.6,N,,,108.0,1.67,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.5,109.55,109.6,109.65,109.7,1251.0,13680.0,20175.0,20527.0,22434.0,EQ,,L&amp;TFH,3381432.0,1947123.0,6694.15,6146501.0,10.87
,15.87,108.92,107.7,29-JUL-19,23-JUL-19,109.05,109.0,108.95,108.9,108.85,5109.0,21768.0,20070.0,21226.0,17981.0,1.4,0.0,21-DEC-18,09-OCT-19,6679.0,L&T Finance Holdings Limited,Listed,0,0,0,109.85,107.7,6811822.0,27.82,19-JUL-19,5.0,10.0,159.25,,False,INE498L01015,109.1,78.6,N,,,108.0,1.3,107.7,No Band,96.95,118.45,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,24488885.0,,27-Nov-2019 00:00:00,10.87,109.1,109.15,109.2,109.25,109.3,3002.0,15810.0,17682.0,22988.0,17404.0,EQ,,L&amp;TFH,3290071.0,2082252.0,6861.46,6299538.0,10.87
