adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.6,794.07,791.05,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-3.40,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.43,791.05,No Band,711.95,870.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,794.07,791.05,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-3.40,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.43,791.05,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,794.07,791.05,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-3.40,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.43,791.05,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,794.07,791.05,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-3.40,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.43,791.05,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,794.07,791.05,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-3.40,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.43,791.05,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,794.07,791.05,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-3.40,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.43,791.05,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,794.07,788.1,23-AUG-19,13-AUG-19,788.1,,,,,134.0,,,,,-0.45,788.1,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,802.8,785.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,787.65,633.6,N,,,787.0,-0.06,791.05,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,,,,,,,,,,,EQ,,GRASIM,134.0,,14798.72,1863654.0,8.6
,13.6,792.65,788.1,23-AUG-19,13-AUG-19,792.05,792.0,791.9,791.85,791.8,134.0,2346.0,1120.0,10.0,179.0,3.95,0.0,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,794.05,791.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,792.05,633.6,N,,,791.9,0.5,788.1,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,792.55,792.6,792.65,792.7,792.75,150.0,100.0,80.0,1479.0,755.0,EQ,,GRASIM,104107.0,116359.0,439.82,55487.0,8.6
,13.6,792.65,788.1,23-AUG-19,13-AUG-19,791.8,791.75,791.7,791.6,791.55,63.0,88.0,711.0,220.0,170.0,3.9,0.0,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,794.05,791.0,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,792.0,633.6,N,,,791.9,0.49,788.1,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,792.0,792.2,792.25,792.35,792.4,298.0,75.0,169.0,48.0,235.0,EQ,,GRASIM,108016.0,123803.0,614.59,77536.0,8.6
,13.6,792.47,788.1,23-AUG-19,13-AUG-19,790.6,790.5,790.35,790.3,790.2,154.0,288.0,75.0,100.0,371.0,2.5,0.0,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,794.05,790.1,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,790.6,633.6,N,,,791.9,0.32,788.1,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,790.8,791.0,791.05,791.1,791.15,15.0,1226.0,17.0,407.0,169.0,EQ,,GRASIM,115795.0,132100.0,716.12,90366.0,8.6
,13.6,791.97,788.1,23-AUG-19,13-AUG-19,789.3,789.25,789.15,789.1,789.05,90.0,153.0,298.0,100.0,106.0,1.4,0.0,27-MAY-19,07-OCT-19,31098.71,Grasim Industries Limited,Listed,0,0,0,794.05,788.25,286416.0,15.37,08-AUG-19,5.0,2.0,959.8,,False,INE047A01021,789.5,633.6,N,,,791.9,0.18,788.1,No Band,709.3,866.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH,1863654.0,,27-Nov-2019 00:00:00,8.6,789.7,789.75,789.8,789.85,789.9,184.0,112.0,76.0,363.0,311.0,EQ,,GRASIM,122425.0,135835.0,869.16,109746.0,8.6
