adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2074.2,2535.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2331.64,2304.65,02-AUG-19,23-JUL-19,2336.3,,,,,1619.0,,,,,31.35,2336.3,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2352.0,2308.4,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.0,1820.0,N,,,2316.0,1.36,2304.65,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,,,,,,,,,,,EQ,,HDFC,1619.0,,134044.72,5748946.0,7.5
,12.5,2340.96,2336.3,02-AUG-19,23-JUL-19,2340.1,2340.05,2340.0,2339.9,2339.75,18.0,109.0,1119.0,289.0,5.0,3.75,0.0,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2344.45,2339.0,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2340.05,1820.0,N,,,2339.0,0.16,2336.3,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,2340.95,2341.0,2341.05,2341.25,2341.6,21.0,25.0,22.0,20.0,224.0,EQ,,HDFC,48217.0,49682.0,782.26,33416.0,7.5
,12.5,2341.67,2336.3,02-AUG-19,23-JUL-19,2335.0,2334.65,2334.6,2334.55,2334.5,5496.0,192.0,100.0,192.0,66.0,-0.70,0.0,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2346.0,2335.0,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2335.6,1820.0,N,,,2339.0,-0.03,2336.3,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,2335.6,2335.65,2335.8,2335.9,2335.95,370.0,149.0,192.0,250.0,216.0,EQ,,HDFC,73889.0,87708.0,3721.83,158939.0,7.5
,12.5,2340.22,2336.3,02-AUG-19,23-JUL-19,2336.95,2336.8,2336.7,2336.55,2336.5,4.0,25.0,26.0,775.0,3.0,0.65,0.0,18-JUL-19,27-FEB-19,402696.81,Housing Development Finance Corporation Limited,Listed,0,0,0,2346.0,2332.8,3625097.0,63.06,19-JUL-19,5.0,2.0,2357.85,,False,INE001A01036,2336.95,1820.0,N,,,2339.0,0.03,2336.3,No Band,2102.7,2569.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 17.50 PER SHARE,5748946.0,,27-Nov-2019 00:00:00,4.67,2337.0,2337.05,2337.1,2337.2,2337.25,134.0,4.0,21.0,82.0,228.0,EQ,,HDFC,76598.0,96282.0,4663.33,199269.0,7.5
