adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,26-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,528.15,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,405.7,495.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,26-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,528.15,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,26-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,528.15,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,455.43,450.75,28-AUG-19,22-AUG-19,458.75,,,,,6825.0,,,,,8.5,458.75,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,447.55,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,459.25,344.55,N,,,449.95,1.89,450.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,,,,,,,,,,,EQ,,SUNPHARMA,6825.0,,29516.47,6481012.0,7.5
,12.5,457.69,458.75,28-AUG-19,22-AUG-19,458.5,458.45,458.4,458.35,458.3,584.0,539.0,318.0,208.0,680.0,-0.05,0.0,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,459.0,456.2,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,458.7,344.55,N,,,456.2,-0.01,458.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,458.7,458.75,458.8,458.85,458.9,199.0,211.0,891.0,87.0,2439.0,EQ,,SUNPHARMA,199707.0,260019.0,479.62,104791.0,7.5
,12.5,458.02,458.75,28-AUG-19,22-AUG-19,458.5,458.45,458.4,458.35,458.3,1050.0,11.0,198.0,604.0,10.0,-0.25,0.0,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,459.0,456.2,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,458.5,344.55,N,,,456.2,-0.05,458.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,458.7,458.75,458.8,458.85,458.9,592.0,923.0,769.0,578.0,460.0,EQ,,SUNPHARMA,252089.0,315950.0,834.0,182088.0,7.5
,12.5,459.09,458.75,28-AUG-19,22-AUG-19,460.25,460.2,460.15,460.1,460.05,430.0,759.0,405.0,519.0,879.0,1.65,0.0,27-NOV-18,13-MAY-19,50631.97,Sun Pharmaceutical Industries Limited,Listed,0,0,0,461.0,456.2,2618433.0,40.4,20-AUG-19,5.0,1.0,519.35,,False,INE044A01036,460.4,344.55,N,,,456.2,0.36,458.75,No Band,412.9,504.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,6481012.0,,27-Nov-2019 00:00:00,7.13,460.35,460.4,460.45,460.5,460.55,47.0,754.0,220.0,290.0,10.0,EQ,,SUNPHARMA,278116.0,359526.0,1745.98,380314.0,7.5
