adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.76,1523.49,1515.9,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,10.1,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,0.67,1515.9,No Band,1364.35,1667.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1523.49,1515.9,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,10.1,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,0.67,1515.9,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1523.49,1515.9,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,10.1,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,0.67,1515.9,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1523.49,1515.9,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,10.1,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,0.67,1515.9,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1523.49,1515.9,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,10.1,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,0.67,1515.9,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1523.49,1515.9,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,10.1,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,0.67,1515.9,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1523.49,1526.35,16-AUG-19,10-AUG-19,1526.35,,,,,92.0,,,,,-0.35,1526.35,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1537.4,1508.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1526.0,1188.05,N,,,1519.0,-0.02,1515.9,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,,,,,,,,,,,EQ,,INDUSINDBK,92.0,,63327.91,4156766.0,9.76
,14.76,1533.83,1526.35,16-AUG-19,10-AUG-19,1533.6,1533.4,1533.35,1533.3,1533.25,56.0,3.0,32.0,304.0,60.0,7.15,0.0,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1538.0,1520.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1533.5,1188.05,N,,,1526.0,0.47,1526.35,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,1534.45,1534.5,1534.55,1534.6,1534.65,74.0,48.0,92.0,432.0,50.0,EQ,,INDUSINDBK,69648.0,98952.0,1279.83,83440.0,9.76
,14.76,1533.66,1526.35,16-AUG-19,10-AUG-19,1531.85,1531.8,1531.65,1531.6,1531.55,334.0,234.0,8.0,264.0,110.0,5.7,0.0,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1538.0,1520.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1532.05,1188.05,N,,,1526.0,0.37,1526.35,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,1532.5,1532.65,1532.7,1532.8,1532.95,12.0,762.0,100.0,76.0,122.0,EQ,,INDUSINDBK,70009.0,109401.0,1671.9,109014.0,9.76
,14.76,1531.93,1526.35,16-AUG-19,10-AUG-19,1529.4,1529.35,1529.05,1529.0,1528.8,152.0,100.0,154.0,341.0,537.0,3.15,0.0,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1538.0,1520.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1529.5,1188.05,N,,,1526.0,0.21,1526.35,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,1529.5,1529.6,1529.75,1529.95,1530.0,897.0,50.0,10.0,1.0,138.0,EQ,,INDUSINDBK,86353.0,126000.0,3137.07,204779.0,9.76
,14.76,1531.46,1526.35,16-AUG-19,10-AUG-19,1528.35,1528.2,1528.0,1527.95,1527.9,38.0,78.0,61.0,232.0,190.0,2.0,0.0,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1538.0,1520.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1528.35,1188.05,N,,,1526.0,0.13,1526.35,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,1528.55,1528.8,1528.85,1528.9,1529.0,175.0,16.0,100.0,5.0,335.0,EQ,,INDUSINDBK,86981.0,131705.0,3635.93,237416.0,9.76
,14.76,1531.29,1526.35,16-AUG-19,10-AUG-19,1528.8,1528.7,1528.6,1528.5,1528.45,101.0,174.0,58.0,100.0,68.0,2.45,0.0,28-MAR-19,01-OCT-19,92020.69,IndusInd Bank Limited,Listed,0,0,0,1538.0,1520.0,1705782.0,41.04,08-AUG-19,5.0,10.0,1834.4,,False,INE095A01012,1528.8,1188.05,N,,,1526.0,0.16,1526.35,No Band,1373.75,1678.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,4156766.0,,27-Nov-2019 00:00:00,9.76,1528.9,1528.95,1529.0,1529.1,1529.15,190.0,36.0,2647.0,36.0,100.0,EQ,,INDUSINDBK,96600.0,145456.0,3884.16,253653.0,9.76
