adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1049.5,1282.7,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1166.1,06-AUG-19,31-JUL-19,,,,,,,,,,,1.05,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.09,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1172.4,1167.15,06-AUG-19,31-JUL-19,,,,,,,,,,,,1167.15,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1182.5,1161.0,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1167.15,868.2,N,,,1170.0,0.0,1166.1,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1167.15,,,,,205.0,,,,,EQ,,TITAN,,205.0,18611.28,1587451.0,7.82
,12.82,1165.48,1167.15,06-AUG-19,31-JUL-19,1164.05,1164.0,1163.95,1163.9,1163.85,42.0,248.0,26.0,1.0,1.0,-2.25,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1162.7,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1164.9,868.2,N,,,1172.0,-0.19,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1164.5,1164.65,1164.9,1164.95,1165.0,31.0,750.0,140.0,42.0,401.0,EQ,,TITAN,105077.0,123236.0,333.69,28631.0,7.82
,12.82,1165.12,1167.15,06-AUG-19,31-JUL-19,1163.6,1163.55,1163.5,1163.45,1163.4,35.0,21.0,167.0,1.0,1.0,-2.95,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1162.7,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1164.2,868.2,N,,,1172.0,-0.25,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1164.0,1164.4,1164.45,1164.6,1164.65,49.0,42.0,100.0,25.0,60.0,EQ,,TITAN,117893.0,140632.0,496.9,42648.0,7.82
,12.82,1164.99,1167.15,06-AUG-19,31-JUL-19,1164.15,1164.1,1164.05,1164.0,1163.95,100.0,30.0,67.0,199.0,466.0,-2.90,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1162.7,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1164.25,868.2,N,,,1172.0,-0.25,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1164.8,1164.9,1164.95,1165.0,1165.05,200.0,48.0,5.0,340.0,110.0,EQ,,TITAN,124632.0,146101.0,601.44,51626.0,7.82
,12.82,1164.39,1167.15,06-AUG-19,31-JUL-19,1160.6,1160.55,1160.4,1160.35,1160.3,61.0,10.0,1.0,91.0,144.0,-6.80,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1160.35,868.2,N,,,1172.0,-0.58,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1161.4,1161.45,1161.5,1161.55,1161.6,68.0,80.0,17.0,60.0,120.0,EQ,,TITAN,122521.0,154682.0,920.72,79073.0,7.82
,12.82,1163.84,1167.15,06-AUG-19,31-JUL-19,1161.55,1161.5,1161.45,1161.3,1161.25,48.0,73.0,146.0,60.0,130.0,-5.15,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1162.0,868.2,N,,,1172.0,-0.44,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1162.0,1162.3,1162.35,1162.4,1162.45,599.0,5.0,22.0,1.0,9.0,EQ,,TITAN,142993.0,161817.0,1126.83,96820.0,7.82
,12.82,1163.71,1167.15,06-AUG-19,31-JUL-19,1162.0,1161.95,1161.9,1161.85,1161.75,20.0,8.0,43.0,112.0,1.0,-4.60,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1162.55,868.2,N,,,1172.0,-0.39,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1162.55,1162.6,1162.75,1162.8,1162.85,60.0,25.0,228.0,273.0,393.0,EQ,,TITAN,158599.0,178150.0,1210.57,104027.0,7.82
,12.82,1163.76,1167.15,06-AUG-19,31-JUL-19,1164.0,1163.9,1163.85,1163.8,1163.75,250.0,60.0,70.0,99.0,1.0,-2.65,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1164.5,868.2,N,,,1172.0,-0.23,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1164.55,1164.65,1164.8,1164.85,1164.9,34.0,17.0,42.0,95.0,5.0,EQ,,TITAN,163886.0,184231.0,1419.58,121982.0,7.82
,12.82,1163.93,1167.15,06-AUG-19,31-JUL-19,1166.5,1166.45,1166.25,1166.2,1166.05,1000.0,6.0,49.0,50.0,56.0,-0.55,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1166.6,868.2,N,,,1172.0,-0.05,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1166.95,1167.0,1167.35,1167.4,1167.5,9.0,359.0,42.0,300.0,127.0,EQ,,TITAN,174189.0,185729.0,1542.78,132549.0,7.82
,12.82,1164.02,1167.15,06-AUG-19,31-JUL-19,1165.65,1165.6,1165.55,1165.5,1165.45,27.0,82.0,36.0,103.0,6.0,-1.00,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1166.15,868.2,N,,,1172.0,-0.09,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1166.3,1166.4,1166.45,1166.5,1166.6,29.0,8.0,198.0,1033.0,328.0,EQ,,TITAN,172366.0,192128.0,1602.61,137679.0,7.82
,12.82,1164.16,1167.15,06-AUG-19,31-JUL-19,1165.6,1165.45,1165.35,1165.25,1165.2,7.0,40.0,202.0,65.0,60.0,-1.55,0.0,25-OCT-19,26-DEC-18,48700.44,Titan Company Limited,Listed,0,0,0,1172.0,1160.35,460391.0,29.0,29-JUL-19,5.0,1.0,1389.95,,False,INE280A01028,1165.6,868.2,N,,,1172.0,-0.13,1167.15,No Band,1050.45,1283.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 5 PER SHARE,1587451.0,,27-Nov-2019 00:00:00,7.82,1166.15,1166.2,1166.25,1166.3,1166.35,25.0,76.0,42.0,12.0,9.0,EQ,,TITAN,178853.0,198739.0,1725.05,148180.0,7.82
