adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,174.15,212.75,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,174.15,212.75,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,193.45,,,192.2,,,,,931.0,,,,,-1.05,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,-0.54,193.45,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,192.73,192.2,,,192.2,,,,,931.0,,,,,0.2,192.2,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,195.95,190.5,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,192.4,166.0,N,,,194.0,0.1,193.45,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,,,,,,,,,,,EQ,,EXIDEIND,931.0,,3254.93,1688855.0,7.59
,12.59,193.2,192.2,,,193.5,193.45,193.4,193.35,193.3,1207.0,917.0,1156.0,496.0,1074.0,1.65,0.0,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,193.85,192.4,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,193.85,166.0,N,,,192.4,0.86,192.2,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,193.85,193.9,193.95,194.0,194.05,2736.0,4328.0,1248.0,3053.0,3302.0,EQ,,EXIDEIND,259479.0,260522.0,100.29,51908.0,7.59
,12.59,193.39,192.2,,,194.05,194.0,193.95,193.9,193.85,11.0,1545.0,514.0,1667.0,963.0,2.0,0.0,20-DEC-18,20-SEP-19,8821.98,Exide Industries Limited,Listed,0,0,0,194.2,192.4,614202.0,36.37,18-NOV-19,5.0,1.0,273.8,,False,INE302A01020,194.2,166.0,N,,,192.4,1.04,192.2,No Band,173.0,211.4,DIVIDEND - RS 1.60 PER SHARE,1688855.0,19-NOV-19,27-Nov-2019 00:00:00,7.59,194.2,194.25,194.3,194.35,194.4,150.0,1125.0,893.0,1593.0,3955.0,EQ,,EXIDEIND,289561.0,282826.0,148.5,76788.0,7.59
