adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,51.75,63.25,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,57.81,57.5,28-JUN-19,22-JUN-19,58.6,,,,,20346.0,,,,,1.25,58.6,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.15,57.0,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.75,48.1,N,,,57.5,2.17,57.5,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,,,,,,,,,,,EQ,,UNIONBANK,20346.0,,4923.13,8516049.0,10.01
,15.01,59.13,58.6,28-JUN-19,22-JUN-19,59.1,59.05,59.0,58.95,58.9,15655.0,28143.0,14746.0,11190.0,586.0,0.5,0.0,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.4,59.05,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,59.1,48.1,N,,,59.05,0.85,58.6,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,59.2,59.25,59.3,59.35,59.4,6506.0,843.0,19232.0,17579.0,12730.0,EQ,,UNIONBANK,764613.0,520778.0,40.15,67903.0,10.01
,15.01,59.03,58.6,28-JUN-19,22-JUN-19,58.85,58.8,58.75,58.7,58.65,8942.0,51802.0,35586.0,38453.0,22627.0,0.3,0.0,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.4,58.8,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,58.9,48.1,N,,,59.05,0.51,58.6,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,58.9,58.95,59.0,59.05,59.1,490.0,14270.0,65919.0,19470.0,31344.0,EQ,,UNIONBANK,1109825.0,1121027.0,270.14,457628.0,10.01
,15.01,59.02,58.6,28-JUN-19,22-JUN-19,59.05,59.0,58.95,58.9,58.85,6051.0,36710.0,25145.0,52788.0,33058.0,0.5,0.0,03-APR-19,11-OCT-19,2272.88,Union Bank of India,Listed,0,0,0,59.4,58.8,983093.0,11.54,20-JUN-19,5.0,10.0,100.4,,False,INE692A01016,59.1,48.1,N,,,59.05,0.85,58.6,No Band,52.75,64.45,ANNUAL GENERAL MEETING,8516049.0,,27-Nov-2019 00:00:00,10.01,59.1,59.15,59.2,59.25,59.3,14072.0,11204.0,40093.0,21762.0,59747.0,EQ,,UNIONBANK,1218988.0,1056658.0,345.82,585942.0,10.01
