adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,333.4,407.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,370.4,06-AUG-19,30-JUL-19,,,,,,,,,,,1.8,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,0.49,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,371.98,372.95,06-AUG-19,30-JUL-19,,,,,,,,,,,-0.75,372.95,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,374.35,367.25,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,372.2,292.1,N,,,372.0,-0.20,370.4,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,372.95,,,,,4232.0,,,,,EQ,,ADANIPORTS,,4232.0,5273.92,1417796.0,7.5
,12.5,374.86,372.95,06-AUG-19,30-JUL-19,373.5,373.4,373.2,373.15,373.1,20.0,1068.0,1.0,942.0,691.0,0.65,0.0,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,377.7,373.2,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,373.6,292.1,N,,,376.0,0.17,372.95,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,373.6,373.65,373.7,373.9,374.0,193.0,2700.0,843.0,1718.0,5672.0,EQ,,ADANIPORTS,890135.0,386522.0,541.21,144377.0,7.5
,12.5,374.54,372.95,06-AUG-19,30-JUL-19,373.3,373.25,373.2,373.15,373.1,136.0,129.0,413.0,260.0,1446.0,0.55,0.0,23-MAY-19,28-JAN-19,29349.74,Adani Ports and Special Economic Zone Limited,Listed,0,0,0,377.7,373.15,262083.0,18.49,26-JUL-19,5.0,2.0,430.6,,False,INE742F01042,373.5,292.1,N,,,376.0,0.15,372.95,No Band,335.7,410.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE,1417796.0,,27-Nov-2019 00:00:00,5.51,373.65,373.7,373.75,373.8,373.85,525.0,223.0,98.0,413.0,3697.0,EQ,,ADANIPORTS,914697.0,388041.0,699.94,186881.0,7.5
