adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
2.5,17.94,455.17,451.35,,,,,,,,,,,,,1.9,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,0.42,451.35,No Band,406.25,496.45,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,455.17,451.35,,,,,,,,,,,,,1.9,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,0.42,451.35,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,455.17,451.35,,,,,,,,,,,,,1.9,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,0.42,451.35,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,455.17,451.35,,,,,,,,,,,,,1.9,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,0.42,451.35,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,455.17,451.35,,,,,,,,,,,,,1.9,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,0.42,451.35,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,455.17,451.35,,,,,,,,,,,,,1.9,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,0.42,451.35,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,455.17,454.85,,,,,,,,,,,,,-1.60,454.85,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,461.65,449.3,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,453.25,352.1,N,,,453.45,-0.35,451.35,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,454.85,,,,,1724.0,,,,,EQ,,CENTURYTEX,,1724.0,3145.17,690987.0,10.44
2.5,17.94,457.04,454.85,,,457.4,457.35,457.3,457.2,457.15,32.0,146.0,400.0,160.0,92.0,3.15,0.0,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,459.45,455.0,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,458.0,352.1,N,,,455.0,0.69,454.85,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,457.7,457.75,457.8,457.85,458.0,50.0,525.0,166.0,100.0,126.0,EQ,,CENTURYTEX,74538.0,78287.0,158.37,34652.0,10.44
2.5,17.94,457.06,454.85,,,457.25,457.05,457.0,456.95,456.9,51.0,29.0,102.0,64.0,121.0,2.45,0.0,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,459.45,455.0,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,457.3,352.1,N,,,455.0,0.54,454.85,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,457.55,457.6,457.65,457.8,457.85,25.0,100.0,25.0,217.0,45.0,EQ,,CENTURYTEX,77903.0,79857.0,181.96,39810.0,10.44
2.5,17.94,457.13,454.85,,,458.55,458.5,458.45,458.4,458.35,1.0,90.0,500.0,109.0,100.0,4.0,0.0,04-JUN-19,15-OCT-19,2387.82,Century Textiles & Industries Limited,Listed,0,0,0,459.45,455.0,104960.0,15.19,11-OCT-19,5.0,10.0,1063.0,,False,INE055A01016,458.85,352.1,N,,,455.0,0.88,454.85,No Band,409.4,500.3,DEMERGER,690987.0,14-OCT-19,27-Nov-2019 00:00:00,10.44,458.9,459.0,459.05,459.15,459.2,338.0,611.0,170.0,17.0,212.0,EQ,,CENTURYTEX,84231.0,78564.0,196.94,43082.0,10.44
