adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.46,466.62,454.55,,,468.45,,,,,1904.0,,,,,14.85,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,3.27,454.55,No Band,409.1,500.0,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,466.62,454.55,,,468.45,,,,,1904.0,,,,,14.85,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,3.27,454.55,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,466.62,454.55,,,468.45,,,,,1904.0,,,,,14.85,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,3.27,454.55,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,466.62,454.55,,,468.45,,,,,1904.0,,,,,14.85,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,3.27,454.55,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,466.62,454.55,,,468.45,,,,,1904.0,,,,,14.85,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,3.27,454.55,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,466.62,454.55,,,468.45,,,,,1904.0,,,,,14.85,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,3.27,454.55,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,466.62,468.45,,,468.45,,,,,1904.0,,,,,0.95,468.45,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,469.95,456.2,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.4,376.0,N,,,457.35,0.2,454.55,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,,,,,,,,,,,EQ,,BHARATFORG,1904.0,,8380.06,1795906.0,8.46
,13.46,470.57,468.45,,,470.8,470.3,470.2,470.15,470.1,203.0,10.0,384.0,100.0,175.0,2.85,0.0,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,471.75,470.0,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,471.3,376.0,N,,,470.0,0.61,468.45,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,471.25,471.35,471.5,471.95,472.0,240.0,56.0,1.0,448.0,521.0,EQ,,BHARATFORG,136795.0,128438.0,34.86,7409.0,8.46
,13.46,470.05,468.45,,,468.1,468.05,468.0,467.8,467.75,100.0,100.0,1200.0,100.0,42.0,-0.10,0.0,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,471.85,467.6,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,468.35,376.0,N,,,470.0,-0.02,468.45,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,468.3,468.35,468.4,468.5,468.55,329.0,45.0,329.0,32.0,307.0,EQ,,BHARATFORG,159168.0,200620.0,263.6,56080.0,8.46
,13.46,469.73,468.45,,,469.0,468.95,468.9,468.85,468.8,125.0,42.0,60.0,498.0,559.0,0.55,0.0,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,471.85,467.6,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,469.0,376.0,N,,,470.0,0.12,468.45,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,469.3,469.35,469.4,469.45,469.5,222.0,143.0,52.0,150.0,308.0,EQ,,BHARATFORG,179823.0,206640.0,392.0,83453.0,8.46
,13.46,469.64,468.45,,,468.2,468.1,468.05,468.0,467.95,465.0,50.0,404.0,3462.0,210.0,-0.25,0.0,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,471.85,467.6,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,468.2,376.0,N,,,470.0,-0.05,468.45,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,468.45,468.5,468.55,468.6,468.65,519.0,556.0,40.0,289.0,20.0,EQ,,BHARATFORG,179954.0,225739.0,439.03,93483.0,8.46
,13.46,469.39,468.45,,,467.25,467.1,467.05,467.0,466.95,123.0,169.0,5.0,316.0,25.0,-1.20,0.0,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,471.85,466.45,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,467.25,376.0,N,,,470.0,-0.26,468.45,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,467.4,467.5,467.55,467.6,467.65,25.0,206.0,200.0,415.0,122.0,EQ,,BHARATFORG,181897.0,236853.0,495.25,105510.0,8.46
,13.46,469.28,468.45,,,467.7,467.65,467.6,467.55,467.5,170.0,30.0,480.0,299.0,2706.0,-0.75,0.0,04-DEC-18,04-SEP-19,11777.67,Bharat Forge Limited,Listed,0,0,0,471.85,466.45,361066.0,20.1,20-NOV-19,5.0,2.0,587.6,,False,INE465A01025,467.7,376.0,N,,,470.0,-0.16,468.45,No Band,421.65,515.25,INTERIM DIVIDEND - RS 1.50 PER SHARE,1795906.0,21-NOV-19,27-Nov-2019 00:00:00,8.46,468.0,468.15,468.2,468.3,468.35,565.0,138.0,141.0,309.0,122.0,EQ,,BHARATFORG,206617.0,241811.0,526.28,112146.0,8.46
