adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,105.15,128.45,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.49,116.8,27-AUG-19,22-AUG-19,,,,,,,,,,,-1.85,115.1,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,116.95,113.0,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.95,83.1,N,,,116.95,-1.58,116.8,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,115.1,,,,,4624.0,,,,,EQ,,PFC,,4624.0,6099.76,5327764.0,7.5
,12.5,114.63,115.1,27-AUG-19,22-AUG-19,114.6,114.5,114.45,114.4,114.35,793.0,4412.0,3718.0,10772.0,5017.0,-0.50,0.0,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,115.25,114.4,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.6,83.1,N,,,115.05,-0.43,115.1,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,114.65,114.7,114.75,114.8,114.85,70.0,22.0,1185.0,7679.0,2288.0,EQ,,PFC,462940.0,441046.0,97.57,85116.0,7.5
,12.5,114.75,115.1,27-AUG-19,22-AUG-19,114.85,114.8,114.75,114.7,114.65,2159.0,7227.0,6075.0,11460.0,15840.0,-0.25,0.0,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,115.25,114.4,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.85,83.1,N,,,115.05,-0.22,115.1,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,114.9,114.95,115.0,115.05,115.1,201.0,1719.0,9714.0,5268.0,4800.0,EQ,,PFC,564004.0,485655.0,182.29,158858.0,7.5
,12.5,114.81,115.1,27-AUG-19,22-AUG-19,114.85,114.8,114.75,114.7,114.65,484.0,9867.0,5890.0,6140.0,15859.0,-0.25,0.0,28-JUN-19,10-DEC-18,12458.81,Power Finance Corporation Limited,Listed,0,0,0,115.25,114.4,2138671.0,40.14,20-AUG-19,5.0,10.0,138.75,,False,INE134E01011,114.85,83.1,N,,,115.05,-0.22,115.1,No Band,103.6,126.6,ANNUAL GENERAL MEETING,5327764.0,,27-Nov-2019 00:00:00,7.43,114.95,115.0,115.05,115.1,115.15,2479.0,3819.0,5009.0,4653.0,7317.0,EQ,,PFC,567736.0,489341.0,240.34,209334.0,7.5
