adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.05,827.45,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.05,827.45,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,756.68,752.25,20-JUL-19,06-JUL-19,,,,,,,,,,,-3.15,752.9,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,763.75,748.4,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.1,580.5,N,,,755.0,-0.42,752.25,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,752.9,,,,,15018.0,,,,,EQ,,AXISBANK,,15018.0,63840.05,8436862.0,7.5
,12.5,750.55,752.9,20-JUL-19,06-JUL-19,749.55,749.45,749.35,749.3,749.25,455.0,26.0,264.0,647.0,1034.0,-3.35,0.0,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,752.5,748.5,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,749.55,580.5,N,,,752.3,-0.44,752.9,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,749.85,749.9,749.95,750.0,750.05,192.0,14443.0,600.0,2755.0,190.0,EQ,,AXISBANK,204026.0,307737.0,2268.04,302184.0,7.5
,12.5,750.93,752.9,20-JUL-19,06-JUL-19,754.05,754.0,753.95,753.9,753.85,244.0,167.0,173.0,1554.0,240.0,1.5,0.0,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,754.45,748.5,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,754.4,580.5,N,,,752.3,0.2,752.9,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,754.4,754.45,754.5,754.6,754.65,129.0,441.0,791.0,700.0,238.0,EQ,,AXISBANK,290652.0,314853.0,4049.47,539260.0,7.5
,12.5,751.2,752.9,20-JUL-19,06-JUL-19,753.3,753.25,753.2,753.15,753.1,36.0,488.0,37.0,1016.0,600.0,0.4,0.0,04-JUN-19,11-DEC-18,167671.85,Axis Bank Limited,Listed,0,0,0,754.5,748.5,3462719.0,41.04,04-JUL-19,5.0,2.0,827.75,,False,INE238A01034,753.3,580.5,N,,,752.3,0.05,752.9,No Band,677.65,828.15,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,8436862.0,,27-Nov-2019 00:00:00,6.26,753.55,753.6,753.65,753.7,753.75,416.0,66.0,303.0,864.0,438.0,EQ,,AXISBANK,301734.0,342868.0,4511.28,600543.0,7.5
