adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,703.85,698.4,,,701.5,,,,,325.0,,,,,3.15,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.45,698.4,No Band,628.6,768.2,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,698.4,,,701.5,,,,,325.0,,,,,3.15,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.45,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,698.4,,,701.5,,,,,325.0,,,,,3.15,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.45,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,698.4,,,701.5,,,,,325.0,,,,,3.15,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.45,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,698.4,,,701.5,,,,,325.0,,,,,3.15,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.45,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,698.4,,,701.5,,,,,325.0,,,,,3.15,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.45,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,701.5,,,701.5,,,,,325.0,,,,,0.05,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.01,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,703.85,701.5,,,701.5,,,,,325.0,,,,,0.05,701.5,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,710.35,698.0,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,701.55,652.05,N,,,698.0,0.01,698.4,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,,,,,,,,,,,EQ,,MINDTREE,325.0,,1435.07,203889.0,7.5
,12.5,705.16,701.5,,,705.75,705.6,705.4,705.3,705.25,100.0,44.0,52.0,165.0,181.0,4.35,0.0,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,707.15,698.4,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,705.85,652.05,N,,,698.4,0.62,701.5,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,705.85,706.0,706.15,706.2,706.3,127.0,3.0,15.0,257.0,100.0,EQ,,MINDTREE,60498.0,53018.0,40.56,5752.0,7.5
,12.5,705.01,701.5,,,705.2,705.1,705.05,704.9,704.85,17.0,7.0,43.0,84.0,16.0,3.5,0.0,25-APR-19,22-JUL-19,6465.03,MindTree Limited,Listed,0,0,0,707.15,698.4,44713.0,21.93,24-OCT-19,5.0,10.0,995.0,,False,INE018I01017,705.0,652.05,N,,,698.4,0.5,701.5,No Band,631.35,771.65,INTERIM DIVIDEND - RS 3 PER EQ SHARE,203889.0,25-OCT-19,27-Nov-2019 00:00:00,4.21,705.7,705.75,705.8,705.9,705.95,7.0,100.0,97.0,116.0,72.0,EQ,,MINDTREE,64387.0,57907.0,57.43,8146.0,7.5
