adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,3148.16,3121.45,,,3164.9,,,,,245.0,,,,,47.65,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,1.53,3121.45,No Band,2809.35,3433.55,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3148.16,3121.45,,,3164.9,,,,,245.0,,,,,47.65,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,1.53,3121.45,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3148.16,3121.45,,,3164.9,,,,,245.0,,,,,47.65,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,1.53,3121.45,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3148.16,3121.45,,,3164.9,,,,,245.0,,,,,47.65,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,1.53,3121.45,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3148.16,3121.45,,,3164.9,,,,,245.0,,,,,47.65,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,1.53,3121.45,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3148.16,3121.45,,,3164.9,,,,,245.0,,,,,47.65,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,1.53,3121.45,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3148.16,3164.9,,,3164.9,,,,,245.0,,,,,4.2,3164.9,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3173.0,3117.85,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3169.1,1906.0,N,,,3130.0,0.13,3121.45,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,,,,,,,,,,,EQ,,SRF,245.0,,5763.46,183074.0,7.5
,12.5,3173.61,3164.9,,,3171.85,3171.6,3171.55,3171.3,3170.85,50.0,9.0,55.0,16.0,11.0,10.55,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3163.65,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3175.45,1906.0,N,,,3183.6,0.33,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3175.45,3175.75,3175.8,3175.85,3176.6,9.0,21.0,124.0,58.0,58.0,EQ,,SRF,20035.0,20536.0,97.4,3069.0,7.5
,12.5,3171.85,3164.9,,,3163.2,3162.8,3162.1,3162.05,3161.4,10.0,25.0,15.0,45.0,16.0,-0.20,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3163.65,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3164.7,1906.0,N,,,3183.6,-0.01,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3164.7,3164.75,3165.95,3166.3,3166.7,44.0,13.0,51.0,49.0,103.0,EQ,,SRF,24883.0,25398.0,189.61,5978.0,7.5
,12.5,3160.31,3164.9,,,3146.05,3146.0,3145.0,3144.85,3144.75,8.0,15.0,67.0,45.0,54.0,-16.80,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3140.9,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3148.1,1906.0,N,,,3183.6,-0.53,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3147.95,3148.0,3148.05,3148.2,3148.45,6.0,9.0,33.0,8.0,24.0,EQ,,SRF,26818.0,28094.0,401.68,12710.0,7.5
,12.5,3154.6,3164.9,,,3146.05,3146.0,3145.95,3145.9,3145.65,29.0,10.0,34.0,20.0,100.0,-18.85,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3135.35,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3146.05,1906.0,N,,,3183.6,-0.60,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3148.0,3148.05,3148.4,3148.7,3148.95,2.0,83.0,9.0,36.0,29.0,EQ,,SRF,29975.0,29609.0,614.11,19467.0,7.5
,12.5,3149.89,3164.9,,,3140.0,3139.5,3139.35,3139.3,3138.95,80.0,6.0,15.0,67.0,10.0,-24.90,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3132.5,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3140.0,1906.0,N,,,3183.6,-0.79,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3140.55,3141.85,3141.9,3141.95,3142.0,1.0,10.0,15.0,15.0,246.0,EQ,,SRF,34512.0,34134.0,837.18,26578.0,7.5
,12.5,3150.34,3164.9,,,3160.0,3159.3,3159.25,3159.2,3159.05,17.0,91.0,46.0,16.0,116.0,-5.60,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3132.5,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3159.3,1906.0,N,,,3183.6,-0.18,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3162.0,3162.5,3163.15,3163.2,3163.25,30.0,3.0,15.0,45.0,54.0,EQ,,SRF,46037.0,39817.0,1083.12,34381.0,7.5
,12.5,3152.47,3164.9,,,3168.95,3168.2,3168.05,3168.0,3167.2,10.0,1.0,1.0,267.0,3.0,3.65,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3132.5,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3168.55,1906.0,N,,,3183.6,0.12,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3169.95,3170.0,3170.2,3170.85,3171.0,17.0,41.0,16.0,2.0,50.0,EQ,,SRF,52011.0,42038.0,1277.85,40535.0,7.5
,12.5,3154.66,3164.9,,,3163.25,3163.2,3163.0,3162.55,3162.5,15.0,96.0,10.0,16.0,35.0,-0.45,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3132.5,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3164.45,1906.0,N,,,3183.6,-0.01,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3165.0,3165.5,3165.55,3165.95,3166.0,70.0,3.0,1.0,15.0,5.0,EQ,,SRF,50250.0,46087.0,1514.33,48003.0,7.5
,12.5,3154.66,3164.9,,,3163.25,3163.2,3163.0,3162.55,3162.5,15.0,96.0,10.0,16.0,35.0,-0.45,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3132.5,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3164.45,1906.0,N,,,3183.6,-0.01,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3165.0,3165.5,3165.55,3165.95,3166.0,70.0,3.0,1.0,15.0,5.0,EQ,,SRF,50250.0,46087.0,1514.33,48003.0,7.5
,12.5,3155.18,3164.9,,,3165.4,3164.4,3164.35,3164.3,3164.0,13.0,3.0,15.0,16.0,15.0,0.45,0.0,20-NOV-19,26-DEC-18,8732.16,SRF Limited,Listed,0,0,0,3183.6,3132.5,43928.0,23.99,13-AUG-19,5.0,10.0,3272.9,,False,INE647A01010,3165.35,1906.0,N,,,3183.6,0.01,3164.9,No Band,2848.45,3481.35,INTERIM DIVIDEND - RS 7 PER SHARE,183074.0,14-AUG-19,27-Nov-2019 00:00:00,5.82,3166.0,3166.35,3166.95,3167.0,3167.1,1000.0,67.0,18.0,16.0,31.0,EQ,,SRF,57293.0,51870.0,1622.27,51416.0,7.5
