adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,407.7,402.5,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,5.1,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,1.27,402.5,No Band,362.25,442.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,407.7,402.5,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,5.1,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,1.27,402.5,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,407.7,402.5,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,5.1,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,1.27,402.5,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,407.7,402.5,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,5.1,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,1.27,402.5,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,407.7,402.5,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,5.1,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,1.27,402.5,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,407.7,402.5,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,5.1,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,1.27,402.5,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,407.7,407.7,24-SEP-19,14-SEP-19,407.7,,,,,5345.0,,,,,-0.10,407.7,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.5,403.6,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,407.6,241.0,N,,,405.0,-0.02,402.5,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,,,,,,,,,,,EQ,,IGL,5345.0,,5602.96,1374285.0,7.5
,12.5,409.24,407.7,24-SEP-19,14-SEP-19,408.5,408.3,408.25,408.2,408.1,50.0,25.0,401.0,50.0,123.0,0.7,0.0,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.0,408.0,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,408.4,241.0,N,,,408.0,0.17,407.7,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,408.6,408.65,408.7,408.75,408.85,201.0,73.0,4.0,2.0,2886.0,EQ,,IGL,189628.0,192846.0,147.34,36003.0,7.5
,12.5,409.11,407.7,24-SEP-19,14-SEP-19,408.5,408.45,408.4,408.35,408.3,26.0,258.0,56.0,642.0,1601.0,0.95,0.0,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.0,408.0,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,408.65,241.0,N,,,408.0,0.23,407.7,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,408.6,408.75,408.8,408.9,408.95,101.0,350.0,255.0,73.0,255.0,EQ,,IGL,209314.0,197225.0,222.66,54425.0,7.5
,12.5,409.11,407.7,24-SEP-19,14-SEP-19,408.5,408.45,408.4,408.35,408.3,26.0,258.0,56.0,642.0,1601.0,0.95,0.0,21-NOV-19,11-DEC-18,14269.52,Indraprastha Gas Limited,Listed,0,0,0,410.0,408.0,414545.0,30.16,12-SEP-19,5.0,2.0,438.7,,False,INE203G01027,408.65,241.0,N,,,408.0,0.23,407.7,No Band,366.95,448.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,1374285.0,,27-Nov-2019 00:00:00,6.55,408.6,408.75,408.8,408.9,408.95,101.0,350.0,255.0,73.0,255.0,EQ,,IGL,209314.0,197225.0,222.66,54425.0,7.5
