adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,564.19,566.2,07-AUG-19,02-AUG-19,,,,,,,,,,,-5.05,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.89,566.2,No Band,509.6,622.8,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,564.19,566.2,07-AUG-19,02-AUG-19,,,,,,,,,,,-5.05,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.89,566.2,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,564.19,566.2,07-AUG-19,02-AUG-19,,,,,,,,,,,-5.05,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.89,566.2,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,564.19,566.2,07-AUG-19,02-AUG-19,,,,,,,,,,,-5.05,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.89,566.2,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,564.19,566.2,07-AUG-19,02-AUG-19,,,,,,,,,,,-5.05,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.89,566.2,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,564.19,566.2,07-AUG-19,02-AUG-19,,,,,,,,,,,-5.05,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.89,566.2,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,564.19,562.7,07-AUG-19,02-AUG-19,,,,,,,,,,,-1.55,562.7,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,568.4,560.6,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,561.15,532.2,N,,,564.35,-0.28,566.2,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.7,,,,,371.0,,,,,EQ,,CUMMINSIND,,371.0,1072.44,190085.0,7.5
,12.5,560.97,562.7,07-AUG-19,02-AUG-19,560.75,560.65,560.6,560.5,560.35,76.0,25.0,47.0,51.0,75.0,-2.15,0.0,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,562.2,560.0,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,560.55,532.2,N,,,560.6,-0.38,562.7,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,561.25,561.3,561.35,561.45,561.5,8.0,50.0,20.0,70.0,155.0,EQ,,CUMMINSIND,77233.0,57126.0,70.74,12610.0,7.5
,12.5,561.03,562.7,07-AUG-19,02-AUG-19,562.0,561.6,561.45,561.4,561.35,40.0,50.0,174.0,70.0,113.0,-0.70,0.0,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,562.2,560.0,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,562.0,532.2,N,,,560.6,-0.12,562.7,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,562.25,562.3,562.35,562.4,562.6,97.0,8.0,200.0,500.0,1.0,EQ,,CUMMINSIND,79062.0,56743.0,77.07,13737.0,7.5
,12.5,560.98,562.7,07-AUG-19,02-AUG-19,560.4,560.35,560.3,560.25,560.2,30.0,9.0,50.0,241.0,76.0,-1.85,0.0,16-JAN-19,25-OCT-19,7643.04,Cummins India Limited,Listed,0,0,0,562.25,560.0,53668.0,28.23,31-JUL-19,5.0,2.0,884.2,,False,INE298A01020,560.85,532.2,N,,,560.6,-0.33,562.7,No Band,506.45,618.95,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE,190085.0,,27-Nov-2019 00:00:00,4.83,560.85,560.9,561.0,561.1,561.2,49.0,26.0,637.0,75.0,8.0,EQ,,CUMMINSIND,83919.0,63183.0,137.23,24463.0,7.5
