adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.35,422.45,424.15,19-JUL-19,06-JUL-19,,,,,,,,,,,-3.00,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.71,424.15,No Band,381.75,466.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,422.45,424.15,19-JUL-19,06-JUL-19,,,,,,,,,,,-3.00,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.71,424.15,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,422.45,424.15,19-JUL-19,06-JUL-19,,,,,,,,,,,-3.00,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.71,424.15,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,422.45,424.15,19-JUL-19,06-JUL-19,,,,,,,,,,,-3.00,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.71,424.15,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,422.45,424.15,19-JUL-19,06-JUL-19,,,,,,,,,,,-3.00,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.71,424.15,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,422.45,424.15,19-JUL-19,06-JUL-19,,,,,,,,,,,-3.00,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.71,424.15,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,422.45,421.35,19-JUL-19,06-JUL-19,,,,,,,,,,,-0.20,421.35,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,427.0,419.2,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,421.15,320.35,N,,,425.3,-0.05,424.15,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,421.35,,,,,3995.0,,,,,EQ,,TATASTEEL,,3995.0,46404.78,10984679.0,9.35
,14.35,425.06,421.35,19-JUL-19,06-JUL-19,426.0,425.95,425.9,425.85,425.8,950.0,93.0,169.0,738.0,955.0,4.65,0.0,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,426.65,422.15,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,426.0,320.35,N,,,422.2,1.1,421.35,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,426.05,426.1,426.2,426.25,426.3,295.0,800.0,4625.0,128.0,979.0,EQ,,TATASTEEL,345770.0,293597.0,1864.61,438670.0,9.35
,14.35,425.03,421.35,19-JUL-19,06-JUL-19,424.95,424.85,424.8,424.75,424.7,27.0,12.0,988.0,1235.0,2067.0,3.65,0.0,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,426.65,422.15,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,425.0,320.35,N,,,422.2,0.87,421.35,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,425.0,425.05,425.1,425.15,425.2,5706.0,80.0,440.0,100.0,505.0,EQ,,TATASTEEL,452707.0,491724.0,4371.25,1028457.0,9.35
,14.35,425.03,421.35,19-JUL-19,06-JUL-19,424.95,424.85,424.8,424.75,424.7,27.0,12.0,988.0,1235.0,2067.0,3.65,0.0,02-MAY-19,09-OCT-19,31801.31,Tata Steel Limited,Listed,0,0,0,426.65,422.15,1618566.0,14.73,04-JUL-19,5.0,10.0,561.65,,False,INE081A01012,425.0,320.35,N,,,422.2,0.87,421.35,No Band,379.25,463.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,10984679.0,,27-Nov-2019 00:00:00,9.35,425.0,425.05,425.1,425.15,425.2,5706.0,80.0,440.0,100.0,505.0,EQ,,TATASTEEL,452707.0,491724.0,4371.25,1028457.0,9.35
