adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1404.25,1716.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1560.25,,,1569.85,,,,,20745.0,,,,,14.85,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.95,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1564.27,1569.85,,,1569.85,,,,,20745.0,,,,,5.25,1569.85,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.5,1556.1,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1575.1,1055.0,N,,,1559.95,0.33,1560.25,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,,,,,,,,,,,EQ,,RELIANCE,20745.0,,68958.28,4408336.0,7.5
,12.5,1571.47,1569.85,,,1568.5,1568.3,1568.2,1568.15,1568.1,50.0,29.0,132.0,1.0,478.0,-1.20,0.0,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.0,1568.05,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1568.65,1055.0,N,,,1572.65,-0.08,1569.85,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,1568.65,1568.7,1569.0,1569.2,1569.3,1.0,288.0,231.0,25.0,300.0,EQ,,RELIANCE,151740.0,231757.0,3313.02,210823.0,7.5
,12.5,1570.8,1569.85,,,1567.8,1567.7,1567.65,1567.6,1567.5,1105.0,546.0,1.0,1.0,420.0,-2.05,0.0,26-NOV-19,11-DEC-18,537379.42,Reliance Industries Limited,Listed,0,0,0,1575.0,1567.05,1986795.0,45.07,02-AUG-19,5.0,10.0,1576.35,,False,INE002A01018,1567.8,1055.0,N,,,1572.65,-0.13,1569.85,No Band,1412.9,1726.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,4408336.0,05-AUG-19,27-Nov-2019 00:00:00,5.46,1568.25,1568.3,1568.35,1568.4,1568.45,669.0,176.0,505.0,493.0,177.0,EQ,,RELIANCE,188224.0,260401.0,4092.97,260566.0,7.5
