adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,203.69,200.3,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,3.45,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,1.72,200.3,No Band,180.3,220.3,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,200.3,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,3.45,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,1.72,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,200.3,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,3.45,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,1.72,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,200.3,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,3.45,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,1.72,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,200.3,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,3.45,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,1.72,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,200.3,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,3.45,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,1.72,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,203.7,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,0.05,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,0.02,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,203.69,203.7,08-MAR-19,01-MAR-19,203.7,,,,,1891.0,,,,,0.05,203.7,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.2,200.05,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,203.75,184.1,N,,,200.7,0.02,200.3,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,,,,,,,,,,,EQ,,AMBUJACEM,1891.0,,5485.2,2692917.0,7.5
,12.5,204.33,203.7,08-MAR-19,01-MAR-19,204.2,204.15,204.1,204.05,204.0,107.0,1620.0,320.0,526.0,1479.0,0.5,0.0,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,204.75,203.75,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,204.2,184.1,N,,,204.15,0.25,203.7,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,204.25,204.3,204.35,204.4,204.45,871.0,135.0,2068.0,242.0,953.0,EQ,,AMBUJACEM,268131.0,293602.0,55.51,27165.0,7.5
,12.5,204.72,203.7,08-MAR-19,01-MAR-19,205.1,205.05,205.0,204.95,204.9,1823.0,2170.0,3264.0,1077.0,2795.0,1.45,0.0,01-APR-19,09-OCT-19,14965.61,Ambuja Cements Limited,Listed,0,0,0,205.3,203.75,696095.0,25.85,27-FEB-19,5.0,2.0,244.0,,False,INE079A01024,205.15,184.1,N,,,204.15,0.71,203.7,No Band,183.35,224.05,DIVIDEND - RS 1.50 PER SHARE,2692917.0,,27-Nov-2019 00:00:00,5.78,205.2,205.25,205.3,205.35,205.4,210.0,975.0,1588.0,2547.0,1144.0,EQ,,AMBUJACEM,295547.0,315804.0,205.81,100532.0,7.5
