adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6412.5,7837.5,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6412.5,7837.5,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7125.0,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,174.0,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,2.44,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7254.46,7294.4,27-AUG-19,17-AUG-19,7294.4,,,,,347.0,,,,,4.6,7294.4,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7300.0,7166.6,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7299.0,5446.05,N,,,7166.6,0.06,7125.0,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,,,,,,,,,,,EQ,,MARUTI,347.0,,77672.05,1070680.0,7.5
,12.5,7301.32,7294.4,27-AUG-19,17-AUG-19,7292.2,7292.15,7292.05,7292.0,7291.9,4.0,24.0,26.0,59.0,6.0,0.6,0.0,19-DEC-18,31-JUL-19,96953.68,Maruti Suzuki India Limited,Listed,0,0,0,7321.1,7286.0,312798.0,29.21,14-AUG-19,5.0,5.0,7949.75,,False,INE585B01010,7295.0,5446.05,N,,,7299.8,0.01,7294.4,No Band,6565.0,8023.8,DIVIDEND - RS 80 PER SHARE,1070680.0,,27-Nov-2019 00:00:00,6.57,7295.0,7296.4,7296.6,7296.9,7297.0,50.0,100.0,30.0,25.0,10.0,EQ,,MARUTI,24175.0,36646.0,2052.84,28116.0,7.5
