adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,792.46,781.55,,,798.15,,,,,562.0,,,,,19.45,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,2.49,781.55,No Band,703.4,859.7,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,792.46,781.55,,,798.15,,,,,562.0,,,,,19.45,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,2.49,781.55,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,792.46,781.55,,,798.15,,,,,562.0,,,,,19.45,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,2.49,781.55,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,792.46,781.55,,,798.15,,,,,562.0,,,,,19.45,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,2.49,781.55,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,792.46,781.55,,,798.15,,,,,562.0,,,,,19.45,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,2.49,781.55,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,792.46,781.55,,,798.15,,,,,562.0,,,,,19.45,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,2.49,781.55,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,792.46,798.15,,,798.15,,,,,562.0,,,,,2.85,798.15,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,801.0,783.05,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,801.0,555.75,N,,,785.45,0.36,781.55,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,,,,,,,,,,,EQ,,RAMCOCEM,562.0,,1992.06,251377.0,7.5
,12.5,801.0,798.15,,,799.15,799.1,799.0,798.85,798.8,22.0,49.0,1000.0,30.0,13.0,2.1,0.0,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,803.1,799.1,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,800.25,555.75,N,,,803.1,0.26,798.15,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,800.15,800.2,800.3,800.4,800.55,26.0,49.0,45.0,62.0,2.0,EQ,,RAMCOCEM,52694.0,56911.0,12.94,1616.0,7.5
,12.5,800.61,798.15,,,800.55,800.15,800.1,800.05,800.0,291.0,37.0,172.0,35.0,57.0,2.5,0.0,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,803.1,799.1,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,800.65,555.75,N,,,803.1,0.31,798.15,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,801.0,801.45,801.65,801.7,801.85,109.0,16.0,4.0,15.0,28.0,EQ,,RAMCOCEM,56324.0,58799.0,33.77,4218.0,7.5
,12.5,800.59,798.15,,,800.5,800.45,800.4,800.35,800.3,30.0,50.0,58.0,60.0,49.0,2.35,0.0,27-MAY-19,29-JAN-19,10717.46,The Ramco Cements Limited,Listed,0,0,0,803.1,799.1,91814.0,36.52,31-JUL-19,5.0,1.0,845.0,,False,INE331A01037,800.5,555.75,N,,,803.1,0.29,798.15,No Band,718.35,877.95,ANNUAL GENERAL MEETING/DIVIDEND RS 3 PER SH,251377.0,01-AUG-19,27-Nov-2019 00:00:00,4.94,801.25,801.35,801.4,801.45,801.55,50.0,37.0,50.0,78.0,28.0,EQ,,RAMCOCEM,56959.0,60265.0,52.34,6538.0,7.5
