adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,16.61,38.83,38.6,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,0.25,38.9,26-NOV-18,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.7,,False,INE114A01011,38.85,29.55,N,,,38.95,0.65,38.6,No Band,34.75,42.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,38.83,38.6,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,0.25,38.9,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.85,29.55,N,,,38.95,0.65,38.6,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,38.83,38.6,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,0.25,38.9,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.85,29.55,N,,,38.95,0.65,38.6,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,38.83,38.6,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,0.25,38.9,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.85,29.55,N,,,38.95,0.65,38.6,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,38.83,38.6,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,0.25,38.9,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.85,29.55,N,,,38.95,0.65,38.6,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,38.83,38.6,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,0.25,38.9,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.85,29.55,N,,,38.95,0.65,38.6,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,38.83,38.9,30-AUG-19,24-AUG-19,38.9,,,,,4100.0,,,,,-0.05,38.9,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.35,38.35,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.85,29.55,N,,,38.95,-0.13,38.6,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,,,,,,,,,,,EQ,,SAIL,4100.0,,9048.79,23303605.0,11.61
,16.61,39.08,38.9,30-AUG-19,24-AUG-19,39.1,39.05,39.0,38.95,38.9,45419.0,108773.0,137992.0,73865.0,94625.0,0.2,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.3,39.0,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.1,29.55,N,,,39.0,0.51,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.15,39.2,39.25,39.3,39.35,38337.0,81909.0,101760.0,127189.0,80141.0,EQ,,SAIL,2141090.0,2281173.0,543.14,1389824.0,11.61
,16.61,39.06,38.9,30-AUG-19,24-AUG-19,38.95,38.9,38.85,38.8,38.75,53915.0,107990.0,80432.0,95350.0,84030.0,0.05,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.3,38.95,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.95,29.55,N,,,39.0,0.13,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.0,39.05,39.1,39.15,39.2,97425.0,107136.0,171807.0,143769.0,67395.0,EQ,,SAIL,2084763.0,2750782.0,738.84,1891562.0,11.61
,16.61,39.05,38.9,30-AUG-19,24-AUG-19,39.1,39.05,39.0,38.95,38.9,47817.0,96672.0,118881.0,90222.0,135752.0,0.25,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.3,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.15,29.55,N,,,39.0,0.64,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.15,39.2,39.25,39.3,39.35,73599.0,91331.0,102224.0,114322.0,81260.0,EQ,,SAIL,2326320.0,2433614.0,964.05,2468769.0,11.61
,16.61,39.04,38.9,30-AUG-19,24-AUG-19,38.9,38.85,38.8,38.75,38.7,151135.0,99846.0,108658.0,77752.0,110421.0,,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.3,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.9,29.55,N,,,39.0,0.0,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,38.95,39.0,39.05,39.1,39.15,14852.0,93656.0,70989.0,141789.0,112469.0,EQ,,SAIL,2302136.0,2872526.0,1138.22,2915527.0,11.61
,16.61,39.04,38.9,30-AUG-19,24-AUG-19,38.9,38.85,38.8,38.75,38.7,151135.0,99846.0,108658.0,77752.0,110421.0,,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.3,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,38.9,29.55,N,,,39.0,0.0,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,38.95,39.0,39.05,39.1,39.15,14852.0,93656.0,70989.0,141789.0,112469.0,EQ,,SAIL,2302136.0,2872526.0,1138.22,2915527.0,11.61
,16.61,39.07,38.9,30-AUG-19,24-AUG-19,39.2,39.15,39.1,39.05,39.0,102443.0,77660.0,140541.0,104711.0,192483.0,0.3,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.3,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.2,29.55,N,,,39.0,0.77,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.25,39.3,39.35,39.4,39.45,51838.0,137063.0,86835.0,98446.0,75975.0,EQ,,SAIL,2967438.0,2612698.0,1466.17,3752671.0,11.61
,16.61,39.11,38.9,30-AUG-19,24-AUG-19,39.3,39.25,39.2,39.15,39.1,20014.0,58368.0,123269.0,102368.0,123344.0,0.4,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.45,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.3,29.55,N,,,39.0,1.03,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.35,39.4,39.45,39.5,39.55,100335.0,98119.0,142627.0,126942.0,80878.0,EQ,,SAIL,3080686.0,2804154.0,1727.92,4418093.0,11.61
,16.61,39.11,38.9,30-AUG-19,24-AUG-19,39.2,39.15,39.1,39.05,39.0,64673.0,93402.0,102402.0,77373.0,137998.0,0.35,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.45,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.25,29.55,N,,,39.0,0.9,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.25,39.3,39.35,39.4,39.45,24478.0,112842.0,100238.0,114226.0,102898.0,EQ,,SAIL,2915033.0,2997444.0,1795.51,4590920.0,11.61
,16.61,39.11,38.9,30-AUG-19,24-AUG-19,39.2,39.15,39.1,39.05,39.0,64673.0,93402.0,102402.0,77373.0,137998.0,0.35,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.45,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.25,29.55,N,,,39.0,0.9,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.25,39.3,39.35,39.4,39.45,24478.0,112842.0,100238.0,114226.0,102898.0,EQ,,SAIL,2915033.0,2997444.0,1795.51,4590920.0,11.61
,16.61,39.12,38.9,30-AUG-19,24-AUG-19,39.2,39.15,39.1,39.05,39.0,79936.0,99443.0,104195.0,81542.0,121659.0,0.3,0.0,08-APR-19,23-AUG-19,4016.94,Steel Authority of India Limited,Listed,0,0,0,39.45,38.9,1751003.0,7.51,22-AUG-19,5.0,10.0,60.2,,False,INE114A01011,39.2,29.55,N,,,39.0,0.77,38.9,No Band,35.05,42.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,23303605.0,,27-Nov-2019 00:00:00,11.61,39.25,39.3,39.35,39.4,39.45,32689.0,157909.0,107162.0,129487.0,113839.0,EQ,,SAIL,2948596.0,3212891.0,1872.65,4786935.0,11.61
