adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,416.5,509.0,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,416.5,509.0,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,462.75,,,,,,,,,,,,,5.85,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,1.26,462.75,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.05,469.3,,,,,,,,,,,,,-0.70,469.3,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,470.45,462.85,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,468.6,357.55,N,,,465.1,-0.15,462.75,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,469.3,,,,,117.0,,,,,EQ,,DABUR,,117.0,5483.03,1173971.0,7.5
,12.5,467.39,469.3,,,467.2,467.15,467.1,467.05,467.0,7.0,64.0,1100.0,114.0,1210.0,-1.70,0.0,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,468.5,467.0,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,467.6,357.55,N,,,467.0,-0.36,469.3,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,467.6,467.65,467.7,467.8,467.85,133.0,8.0,136.0,356.0,132.0,EQ,,DABUR,123617.0,126302.0,24.22,5182.0,7.5
,12.5,468.27,469.3,,,466.85,466.7,466.65,466.6,466.55,2.0,460.0,120.0,353.0,61.0,-2.55,0.0,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,471.75,466.0,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,466.75,357.55,N,,,467.0,-0.54,469.3,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,466.95,467.05,467.1,467.15,467.2,29.0,50.0,115.0,498.0,424.0,EQ,,DABUR,143155.0,154588.0,316.49,67587.0,7.5
,12.5,468.15,469.3,,,467.0,466.95,466.9,466.85,466.8,7.0,142.0,210.0,78.0,10323.0,-2.30,0.0,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,471.75,466.0,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,467.0,357.55,N,,,467.0,-0.49,469.3,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,467.2,467.25,467.3,467.35,467.4,146.0,232.0,285.0,36.0,429.0,EQ,,DABUR,157250.0,158524.0,350.78,74928.0,7.5
,12.5,468.09,469.3,,,466.95,466.9,466.85,466.8,466.75,6.0,94.0,143.0,8827.0,270.0,-2.30,0.0,06-NOV-19,16-MAY-19,26536.94,Dabur India Limited,Listed,0,0,0,471.75,466.0,586173.0,49.93,13-NOV-19,5.0,1.0,487.7,,False,INE016A01026,467.0,357.55,N,,,467.0,-0.49,469.3,No Band,422.4,516.2,INTERIM DIVIDEND - RS 1.40 PER SHARE,1173971.0,14-NOV-19,27-Nov-2019 00:00:00,5.34,467.0,467.1,467.2,467.25,467.3,63.0,56.0,278.0,177.0,387.0,EQ,,DABUR,159970.0,160054.0,368.01,78619.0,7.5
