adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,147.1,179.7,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,167.13,163.4,09-AUG-16,20-JUL-16,,,,,,,,,,,2.5,165.9,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,169.3,165.0,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.9,106.0,N,,,165.3,1.53,163.4,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.9,,,,,1070.0,,,,,EQ,,TATAMOTORS,,1070.0,49349.65,29527702.0,13.88
,19.91,165.32,165.9,09-AUG-16,20-JUL-16,165.35,165.3,165.25,165.2,165.15,1109.0,44.0,4798.0,5512.0,632.0,-0.45,0.0,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,165.75,164.8,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.45,106.0,N,,,165.75,-0.27,165.9,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.45,165.5,165.55,165.6,165.65,1246.0,1421.0,723.0,6586.0,5813.0,EQ,,TATAMOTORS,539687.0,755299.0,393.36,237940.0,13.88
,19.91,165.56,165.9,09-AUG-16,20-JUL-16,165.55,165.5,165.45,165.4,165.35,2886.0,15088.0,4163.0,8260.0,6808.0,-0.35,0.0,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,166.1,164.8,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.55,106.0,N,,,165.75,-0.21,165.9,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.6,165.65,165.7,165.75,165.8,394.0,3086.0,8865.0,5505.0,10759.0,EQ,,TATAMOTORS,771452.0,972408.0,982.29,593316.0,13.88
,19.91,165.52,165.9,09-AUG-16,20-JUL-16,165.25,165.2,165.15,165.1,165.05,2423.0,6535.0,7535.0,13205.0,8375.0,-0.55,0.0,22-APR-19,04-SEP-19,29698.69,Tata Motors Limited,Listed,0,0,0,166.1,164.8,5222574.0,17.69,18-JUL-16,6.03,2.0,239.35,,False,INE155A01022,165.35,106.0,N,,,165.75,-0.33,165.9,No Band,149.35,182.45,DIVIDEND - RE 0.20/- PER SHARE,29527702.0,,27-Nov-2019 00:00:00,13.88,165.35,165.4,165.45,165.5,165.55,1804.0,15153.0,8845.0,15893.0,10792.0,EQ,,TATAMOTORS,878406.0,1083810.0,1295.4,782627.0,13.88
