adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,660.14,655.9,08-JUL-19,02-JUL-19,,,,,,,,,,,3.05,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,0.47,655.9,No Band,590.35,721.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,660.14,655.9,08-JUL-19,02-JUL-19,,,,,,,,,,,3.05,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,0.47,655.9,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,660.14,655.9,08-JUL-19,02-JUL-19,,,,,,,,,,,3.05,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,0.47,655.9,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,660.14,655.9,08-JUL-19,02-JUL-19,,,,,,,,,,,3.05,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,0.47,655.9,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,660.14,655.9,08-JUL-19,02-JUL-19,,,,,,,,,,,3.05,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,0.47,655.9,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,660.14,655.9,08-JUL-19,02-JUL-19,,,,,,,,,,,3.05,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,0.47,655.9,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,660.14,659.8,08-JUL-19,02-JUL-19,,,,,,,,,,,-0.85,659.8,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,665.9,654.65,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.95,543.0,N,,,656.0,-0.13,655.9,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.8,,,,,1683.0,,,,,EQ,,TATACHEM,,1683.0,4569.82,692250.0,7.5
,12.5,657.29,659.8,08-JUL-19,02-JUL-19,657.05,657.0,656.95,656.85,656.8,20.0,15.0,100.0,22.0,248.0,-2.45,0.0,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,659.65,656.05,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,657.35,543.0,N,,,658.0,-0.37,659.8,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,657.35,657.65,657.7,658.05,658.1,25.0,32.0,25.0,20.0,181.0,EQ,,TATACHEM,77925.0,74203.0,31.21,4748.0,7.5
,12.5,657.42,659.8,08-JUL-19,02-JUL-19,658.8,658.75,658.65,658.6,658.55,10.0,177.0,34.0,100.0,210.0,-0.95,0.0,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,659.65,656.05,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,658.85,543.0,N,,,658.0,-0.14,659.8,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.2,659.25,659.3,659.35,659.4,34.0,25.0,126.0,9.0,85.0,EQ,,TATACHEM,85840.0,77407.0,47.56,7234.0,7.5
,12.5,658.19,659.8,08-JUL-19,02-JUL-19,659.1,659.05,659.0,658.95,658.9,60.0,10.0,10.0,88.0,142.0,-0.30,0.0,20-DEC-18,23-AUG-19,11598.09,Tata Chemicals Limited,Listed,0,0,0,660.15,656.05,188741.0,27.26,28-JUN-19,5.0,10.0,727.4,,False,INE092A01019,659.5,543.0,N,,,658.0,-0.05,659.8,No Band,593.85,725.75,ANNUAL GENERAL MEETING/ DIVIDEND - RS 12.50 PER SHARE,692250.0,,27-Nov-2019 00:00:00,4.43,659.5,659.55,659.6,659.7,659.75,117.0,41.0,127.0,93.0,84.0,EQ,,TATACHEM,91055.0,81546.0,80.69,12259.0,7.5
