adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1609.3,1966.9,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1609.3,1966.9,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1788.1,,,1874.25,,,,,56.0,,,,,83.9,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,4.69,1788.1,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1847.57,1874.25,,,1874.25,,,,,56.0,,,,,-2.25,1874.25,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1899.8,1790.0,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1872.0,1452.0,N,,,1800.0,-0.12,1788.1,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,,,,,,,,,,,EQ,,TORNTPHARM,56.0,,11488.02,621791.0,7.5
,12.5,1863.82,1874.25,,,1862.7,1862.55,1862.5,1862.4,1862.35,27.0,2.0,28.0,3.0,11.0,-10.25,0.0,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1871.0,1856.05,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1864.0,1452.0,N,,,1870.0,-0.55,1874.25,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,1864.0,1864.15,1864.6,1864.65,1864.7,236.0,25.0,26.0,30.0,16.0,EQ,,TORNTPHARM,50096.0,46526.0,366.05,19640.0,7.5
,12.5,1863.82,1874.25,,,1862.7,1862.55,1862.5,1862.4,1862.35,27.0,2.0,28.0,3.0,11.0,-10.25,0.0,29-MAR-19,23-JUL-19,9197.8,Torrent Pharmaceuticals Limited,Listed,0,0,0,1871.0,1856.05,189568.0,30.49,13-JUN-19,5.0,5.0,1962.0,,False,INE685A01028,1864.0,1452.0,N,,,1870.0,-0.55,1874.25,No Band,1686.85,2061.65,DIVIDEND RS 4 PER SHARE,621791.0,14-JUN-19,27-Nov-2019 00:00:00,6.94,1864.0,1864.15,1864.6,1864.65,1864.7,236.0,25.0,26.0,30.0,16.0,EQ,,TORNTPHARM,50096.0,46526.0,366.05,19640.0,7.5
