adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.15,58.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.15,58.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.5,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.25,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.47,53.5,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.49,53.3,19-SEP-19,13-SEP-19,53.3,,,,,10000.0,,,,,-0.05,53.3,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.25,52.9,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.25,41.3,N,,,53.9,-0.09,53.5,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,,,,,,,,,,,EQ,,BHEL,10000.0,,4893.64,9148707.0,13.34
,18.52,53.52,53.3,19-SEP-19,13-SEP-19,53.5,53.45,53.4,53.35,53.3,11235.0,28163.0,16504.0,34380.0,43879.0,0.25,0.0,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,53.6,53.3,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.55,41.3,N,,,53.6,0.47,53.3,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,53.55,53.6,53.65,53.7,53.75,20235.0,33869.0,15906.0,32996.0,35396.0,EQ,,BHEL,1245367.0,1445353.0,189.38,353841.0,13.34
,18.52,53.62,53.3,19-SEP-19,13-SEP-19,53.85,53.8,53.75,53.7,53.65,15276.0,34860.0,42877.0,47842.0,37982.0,0.65,0.0,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,53.95,53.3,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.95,41.3,N,,,53.6,1.22,53.3,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,53.9,53.95,54.0,54.05,54.1,455.0,30496.0,50205.0,19903.0,19740.0,EQ,,BHEL,2306130.0,1534031.0,439.04,818798.0,13.34
,18.52,53.7,53.3,19-SEP-19,13-SEP-19,53.85,53.8,53.75,53.7,53.65,8383.0,21205.0,37879.0,41122.0,19964.0,0.6,0.0,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.2,53.3,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.9,41.3,N,,,53.6,1.13,53.3,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,53.9,53.95,54.0,54.05,54.1,19466.0,28234.0,33644.0,41172.0,36175.0,EQ,,BHEL,2270936.0,1742615.0,562.09,1046719.0,13.34
,18.52,53.7,53.3,19-SEP-19,13-SEP-19,53.85,53.8,53.75,53.7,53.65,8383.0,21205.0,37879.0,41122.0,19964.0,0.6,0.0,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.2,53.3,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.9,41.3,N,,,53.6,1.13,53.3,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,53.9,53.95,54.0,54.05,54.1,19466.0,28234.0,33644.0,41172.0,36175.0,EQ,,BHEL,2270936.0,1742615.0,562.09,1046719.0,13.34
,18.52,53.71,53.3,19-SEP-19,13-SEP-19,53.75,53.7,53.65,53.6,53.55,1763.0,28753.0,67483.0,46505.0,39279.0,0.5,0.0,16-APR-19,16-OCT-19,6866.98,Bharat Heavy Electricals Limited,Listed,0,0,0,54.2,53.3,2484807.0,27.16,11-SEP-19,5.18,2.0,78.85,,False,INE257A01026,53.8,41.3,N,,,53.6,0.94,53.3,No Band,48.0,58.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,9148707.0,,27-Nov-2019 00:00:00,13.34,53.8,53.85,53.9,53.95,54.0,12952.0,31861.0,34660.0,47019.0,64140.0,EQ,,BHEL,2714565.0,2237966.0,695.11,1294188.0,13.34
