adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1334.1,1630.5,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1334.1,1630.5,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.62,1482.3,12-MAR-19,07-MAR-19,,,,,,,,,,,18.95,1501.2,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1517.0,1483.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1501.25,1326.0,N,,,1486.85,1.28,1482.3,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1501.2,,,,,37.0,,,,,EQ,,ACC,,37.0,15476.07,1028570.0,7.5
,12.5,1504.66,1501.2,12-MAR-19,07-MAR-19,1505.25,1505.2,1505.1,1505.0,1504.8,33.0,90.0,15.0,33.0,19.0,3.95,0.0,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1506.85,1501.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1505.15,1326.0,N,,,1505.0,0.26,1501.2,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1505.8,1505.85,1505.9,1505.95,1506.0,400.0,83.0,399.0,55.0,801.0,EQ,,ACC,70462.0,78452.0,273.28,18162.0,7.5
,12.5,1505.35,1501.2,12-MAR-19,07-MAR-19,1506.0,1505.75,1505.65,1505.6,1505.55,5.0,52.0,33.0,27.0,84.0,5.6,0.0,28-MAY-19,18-FEB-19,12685.77,ACC Limited,Listed,0,0,0,1508.6,1501.85,215599.0,20.96,05-MAR-19,5.0,10.0,1769.05,,False,INE012A01025,1506.8,1326.0,N,,,1505.0,0.37,1501.2,No Band,1351.1,1651.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,1028570.0,,27-Nov-2019 00:00:00,4.86,1506.8,1506.85,1507.0,1507.1,1507.15,108.0,100.0,890.0,405.0,459.0,EQ,,ACC,73849.0,81279.0,502.55,33384.0,7.5
