adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,407.7,498.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,465.81,453.0,,,472.1,,,,,4912.0,,,,,22.0,472.1,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,476.6,454.0,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,475.0,338.25,N,,,459.6,4.86,453.0,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,,,,,,,,,,,EQ,,TVSMOTOR,4912.0,,12123.36,2602641.0,8.58
,13.58,476.16,472.1,,,476.2,476.15,476.1,476.05,476.0,351.0,517.0,418.0,634.0,4309.0,4.4,0.0,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,478.0,473.4,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,476.5,338.25,N,,,473.4,0.93,472.1,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,476.5,476.55,476.6,476.65,476.7,583.0,1373.0,1100.0,56.0,349.0,EQ,,TVSMOTOR,505609.0,135604.0,806.18,169308.0,8.58
,13.58,475.76,472.1,,,473.7,473.65,473.6,473.55,473.5,674.0,195.0,10.0,153.0,165.0,1.55,0.0,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,478.0,473.4,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,473.65,338.25,N,,,473.4,0.33,472.1,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,473.95,474.0,474.15,474.2,474.25,25.0,500.0,42.0,19.0,200.0,EQ,,TVSMOTOR,492019.0,164892.0,1143.25,240299.0,8.58
,13.58,475.44,472.1,,,473.15,473.05,473.0,472.95,472.9,995.0,42.0,415.0,261.0,165.0,1.05,0.0,21-DEC-18,31-JUL-19,9644.41,TVS Motor Company Limited,Listed,0,0,0,478.0,472.25,455823.0,17.51,18-MAR-19,5.0,1.0,586.4,,False,INE494B01023,473.15,338.25,N,,,473.4,0.22,472.1,No Band,424.9,519.3,INTERIM DIVIDEND - RS 1.40 PER SHARE,2602641.0,19-MAR-19,27-Nov-2019 00:00:00,8.58,473.25,473.35,473.45,473.5,473.55,51.0,245.0,391.0,173.0,65.0,EQ,,TVSMOTOR,498724.0,166979.0,1331.65,280087.0,8.58
