adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,117.25,143.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,117.25,143.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.18,130.25,,,,,,,,,,,,,2.45,132.65,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,133.05,129.55,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.7,115.55,N,,,130.4,1.88,130.25,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.65,,,,,486.0,,,,,EQ,,ONGC,,486.0,7009.08,5343104.0,7.5
,12.5,131.88,132.65,,,132.15,132.1,132.05,132.0,131.95,218.0,500.0,5195.0,4583.0,5447.0,-0.50,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.15,115.55,N,,,132.4,-0.38,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.2,132.25,132.3,132.35,132.4,1041.0,4864.0,6781.0,8076.0,11796.0,EQ,,ONGC,590642.0,508326.0,286.73,217415.0,7.5
,12.5,131.88,132.65,,,132.15,132.1,132.05,132.0,131.95,218.0,500.0,5195.0,4583.0,5447.0,-0.50,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.15,115.55,N,,,132.4,-0.38,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.2,132.25,132.3,132.35,132.4,1041.0,4864.0,6781.0,8076.0,11796.0,EQ,,ONGC,590642.0,508326.0,286.73,217415.0,7.5
,12.5,131.91,132.65,,,132.0,131.95,131.9,131.85,131.8,100.0,1208.0,1696.0,8946.0,14170.0,-0.70,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,131.95,115.55,N,,,132.4,-0.53,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.05,132.1,132.15,132.2,132.25,2523.0,6024.0,10509.0,9151.0,17602.0,EQ,,ONGC,602856.0,550351.0,362.49,274804.0,7.5
,12.5,131.93,132.65,,,131.85,131.8,131.75,131.7,131.65,1828.0,6918.0,11074.0,12706.0,8604.0,-0.75,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,131.9,115.55,N,,,132.4,-0.57,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,131.9,131.95,132.0,132.05,132.1,1082.0,2516.0,14429.0,10949.0,22595.0,EQ,,ONGC,607890.0,583063.0,437.53,331641.0,7.5
,12.5,131.92,132.65,,,131.85,131.8,131.75,131.7,131.65,1586.0,9054.0,11071.0,18606.0,9124.0,-0.80,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,131.85,115.55,N,,,132.4,-0.60,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,131.95,132.0,132.05,132.1,132.15,3249.0,8753.0,11253.0,12667.0,9739.0,EQ,,ONGC,664408.0,622869.0,488.94,370633.0,7.5
,12.5,131.91,132.65,,,131.9,131.85,131.8,131.75,131.7,1090.0,3681.0,16388.0,22099.0,16157.0,-0.75,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,131.9,115.55,N,,,132.4,-0.57,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,131.95,132.0,132.05,132.1,132.15,226.0,5472.0,7730.0,17682.0,14828.0,EQ,,ONGC,781924.0,653197.0,526.34,399018.0,7.5
,12.5,131.93,132.65,,,132.1,132.05,132.0,131.95,131.9,278.0,2170.0,6632.0,14072.0,18964.0,-0.55,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.1,115.55,N,,,132.4,-0.41,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.15,132.2,132.25,132.3,132.35,995.0,9336.0,13340.0,15088.0,16890.0,EQ,,ONGC,854389.0,768301.0,597.36,452782.0,7.5
,12.5,131.94,132.65,,,132.05,132.0,131.95,131.9,131.85,3247.0,11924.0,15135.0,16259.0,12987.0,-0.50,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.15,115.55,N,,,132.4,-0.38,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.15,132.2,132.25,132.3,132.35,1527.0,7475.0,8248.0,18235.0,12278.0,EQ,,ONGC,857259.0,790072.0,636.23,482215.0,7.5
,12.5,131.94,132.65,,,132.0,131.95,131.9,131.85,131.8,4132.0,4219.0,20716.0,15447.0,14160.0,-0.55,0.0,23-MAY-19,04-SEP-19,41719.35,Oil & Natural Gas Corporation Limited,Listed,0,0,0,132.6,131.5,2146080.0,40.17,22-AUG-19,5.0,5.0,178.9,,False,INE213A01029,132.1,115.55,N,,,132.4,-0.41,132.65,No Band,119.4,145.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,5343104.0,23-AUG-19,27-Nov-2019 00:00:00,6.09,132.1,132.15,132.2,132.25,132.3,2625.0,10527.0,13074.0,16331.0,21154.0,EQ,,ONGC,890391.0,814837.0,702.02,532078.0,7.5
