adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,544.58,538.6,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,2.1,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.39,538.6,No Band,484.75,592.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,544.58,538.6,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,2.1,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.39,538.6,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,544.58,538.6,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,2.1,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.39,538.6,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,544.58,538.6,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,2.1,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.39,538.6,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,544.58,538.6,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,2.1,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.39,538.6,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,544.58,538.6,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,2.1,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.39,538.6,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,544.58,539.95,07-AUG-19,20-JUL-19,539.95,,,,,853.0,,,,,0.75,539.95,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,554.5,535.0,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.7,502.55,N,,,542.0,0.14,538.6,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,,,,,,,,,,,EQ,,M&amp;M,853.0,,36110.06,6630809.0,7.5
,12.5,542.16,539.95,07-AUG-19,20-JUL-19,541.5,541.35,541.3,541.25,541.2,44.0,243.0,111.0,307.0,329.0,1.55,0.0,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,543.05,541.15,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,541.5,502.55,N,,,541.9,0.29,539.95,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,541.6,541.75,541.8,541.85,541.9,100.0,92.0,482.0,2482.0,205.0,EQ,,M&amp;M,187069.0,241388.0,605.96,111767.0,7.5
,12.5,542.07,539.95,07-AUG-19,20-JUL-19,541.6,541.5,541.45,541.4,541.35,50.0,681.0,381.0,70.0,489.0,1.85,0.0,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,543.05,541.15,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,541.8,502.55,N,,,541.9,0.34,539.95,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,541.85,541.9,541.95,542.0,542.05,1893.0,1200.0,1509.0,3239.0,1374.0,EQ,,M&amp;M,211421.0,256472.0,748.78,138134.0,7.5
,12.5,542.12,539.95,07-AUG-19,20-JUL-19,541.55,541.3,541.25,541.2,541.1,73.0,176.0,184.0,510.0,542.0,1.8,0.0,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,543.3,541.15,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,541.75,502.55,N,,,541.9,0.33,539.95,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,541.75,541.8,541.85,541.9,541.95,187.0,1239.0,1365.0,4084.0,2885.0,EQ,,M&amp;M,222265.0,279860.0,1238.96,228540.0,7.5
,12.5,541.76,539.95,07-AUG-19,20-JUL-19,540.0,539.95,539.9,539.85,539.8,317.0,349.0,127.0,1.0,795.0,0.35,0.0,21-DEC-18,14-AUG-19,51687.16,Mahindra & Mahindra Limited,Listed,0,0,0,543.3,539.05,2345695.0,35.38,18-JUL-19,5.0,5.0,814.0,,False,INE101A01026,540.3,502.55,N,,,541.9,0.06,539.95,No Band,486.0,593.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.50 PER SHARE,6630809.0,,27-Nov-2019 00:00:00,5.8,540.3,540.35,540.4,540.45,540.5,855.0,371.0,500.0,788.0,2124.0,EQ,,M&amp;M,229089.0,280235.0,1539.88,284237.0,7.5
