adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.0,62.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.97,56.65,18-JUN-19,07-JUN-19,,,,,,,,,,,0.1,56.8,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,57.5,56.55,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.75,50.35,N,,,57.0,0.18,56.65,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.8,,,,,2752.0,,,,,EQ,,TATAPOWER,,2752.0,3970.3,6969108.0,7.5
,12.5,56.2,56.8,18-JUN-19,07-JUN-19,56.05,56.0,55.95,55.9,55.85,11426.0,34520.0,20511.0,23474.0,12179.0,-0.70,0.0,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,56.7,56.0,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,56.1,50.35,N,,,56.6,-1.23,56.8,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,56.1,56.15,56.2,56.25,56.3,17935.0,18530.0,15533.0,17716.0,19610.0,EQ,,TATAPOWER,1014415.0,1145875.0,1896.14,3373913.0,7.5
,12.5,56.15,56.8,18-JUN-19,07-JUN-19,55.75,55.7,55.65,55.6,55.55,5681.0,37700.0,26090.0,36102.0,13889.0,-1.00,0.0,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,56.7,55.7,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,55.8,50.35,N,,,56.6,-1.76,56.8,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,55.8,55.85,55.9,55.95,56.0,1000.0,7529.0,20626.0,25050.0,23513.0,EQ,,TATAPOWER,1054642.0,1207113.0,2262.32,4029063.0,7.5
,12.5,56.13,56.8,18-JUN-19,07-JUN-19,55.9,55.85,55.8,55.75,55.7,7776.0,9779.0,38682.0,61254.0,43676.0,-0.85,0.0,04-DEC-18,21-AUG-19,10293.29,Tata Power Company Limited,Listed,0,0,0,56.7,55.7,3696426.0,53.04,04-JUN-19,5.0,1.0,83.85,,False,INE245A01021,55.95,50.35,N,,,56.6,-1.50,56.8,No Band,51.15,62.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.30 PER,6969108.0,,27-Nov-2019 00:00:00,6.52,55.95,56.0,56.05,56.1,56.15,5231.0,25104.0,28394.0,30914.0,14330.0,EQ,,TATAPOWER,1240549.0,1197323.0,2458.75,4380456.0,7.5
