adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,26-NOV-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24488.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20525.15,25086.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,26-NOV-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24488.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.29,22805.7,01-AUG-19,26-JUL-19,,,,,,,,,,,199.9,23021.65,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23400.0,22872.4,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23005.6,15200.0,N,,,22990.8,0.88,22805.7,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23021.65,,,,,94.0,,,,,EQ,,EICHERMOT,,94.0,30877.03,134019.0,7.91
,12.91,23039.33,23021.65,01-AUG-19,26-JUL-19,23053.75,23050.45,23050.05,23050.0,23049.85,2.0,1.0,1.0,21.0,31.0,32.15,0.0,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23165.5,22965.35,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23053.8,15200.0,N,,,23165.5,0.14,23021.65,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23060.0,23060.85,23062.2,23065.0,23065.05,8.0,5.0,4.0,45.0,5.0,EQ,,EICHERMOT,4540.0,5999.0,556.86,2417.0,7.91
,12.91,23030.24,23021.65,01-AUG-19,26-JUL-19,23001.8,23000.05,23000.0,22995.0,22993.0,8.0,1.0,29.0,3.0,1.0,-19.85,0.0,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23165.5,22965.35,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23001.8,15200.0,N,,,23165.5,-0.09,23021.65,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23010.0,23010.45,23011.0,23012.95,23013.0,10.0,1.0,1.0,1.0,2.0,EQ,,EICHERMOT,5468.0,7416.0,1327.69,5765.0,7.91
,12.91,23029.54,23021.65,01-AUG-19,26-JUL-19,23004.1,23004.0,23000.0,22997.35,22995.85,1.0,5.0,72.0,12.0,5.0,-17.55,0.0,19-DEC-18,26-AUG-19,32039.92,Eicher Motors Limited,Listed,0,0,0,23165.5,22965.35,32769.0,24.45,24-JUL-19,5.0,10.0,24220.0,,False,INE066A01013,23004.1,15200.0,N,,,23165.5,-0.08,23021.65,No Band,20719.5,25323.8,ANNUAL GENERAL MEETING/ DIVIDEND - RS 125 PER SHARE,134019.0,,27-Nov-2019 00:00:00,7.91,23009.0,23009.95,23010.0,23011.95,23013.0,6.0,1.0,128.0,4.0,50.0,EQ,,EICHERMOT,5636.0,7513.0,1367.03,5936.0,7.91
