adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,2081.49,2058.35,,,2093.25,,,,,370.0,,,,,31.65,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,1.54,2058.35,No Band,1852.55,2264.15,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2081.49,2058.35,,,2093.25,,,,,370.0,,,,,31.65,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,1.54,2058.35,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2081.49,2058.35,,,2093.25,,,,,370.0,,,,,31.65,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,1.54,2058.35,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2081.49,2058.35,,,2093.25,,,,,370.0,,,,,31.65,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,1.54,2058.35,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2081.49,2058.35,,,2093.25,,,,,370.0,,,,,31.65,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,1.54,2058.35,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2081.49,2058.35,,,2093.25,,,,,370.0,,,,,31.65,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,1.54,2058.35,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2081.49,2093.25,,,2093.25,,,,,370.0,,,,,-3.25,2093.25,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2099.9,2055.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2090.0,1650.0,N,,,2062.55,-0.16,2058.35,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,,,,,,,,,,,EQ,,HINDUNILVR,370.0,,26226.48,1259986.0,7.5
,12.5,2090.53,2093.25,,,2083.5,2083.0,2082.75,2082.5,2082.4,32.0,376.0,44.0,44.0,43.0,-9.30,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2080.65,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2083.95,1650.0,N,,,2097.95,-0.44,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2084.0,2084.05,2084.15,2084.3,2084.35,14.0,40.0,50.0,8.0,16.0,EQ,,HINDUNILVR,61856.0,62584.0,634.02,30328.0,7.5
,12.5,2088.33,2093.25,,,2081.75,2081.1,2081.05,2081.0,2080.9,2.0,56.0,50.0,700.0,33.0,-11.35,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2080.65,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2081.9,1650.0,N,,,2097.95,-0.54,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2081.8,2081.9,2082.45,2082.65,2082.75,2.0,10.0,73.0,2.0,300.0,EQ,,HINDUNILVR,66451.0,67155.0,934.92,44769.0,7.5
,12.5,2086.3,2093.25,,,2076.65,2076.2,2076.1,2076.05,2076.0,25.0,25.0,115.0,119.0,93.0,-16.10,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2077.15,1650.0,N,,,2097.95,-0.77,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2077.15,2077.25,2077.3,2077.35,2077.45,5.0,93.0,75.0,63.0,55.0,EQ,,HINDUNILVR,69463.0,71112.0,1203.02,57663.0,7.5
,12.5,2085.15,2093.25,,,2079.05,2079.0,2078.95,2078.9,2078.75,33.0,5.0,2.0,170.0,1.0,-13.40,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2079.85,1650.0,N,,,2097.95,-0.64,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2079.85,2079.95,2080.0,2080.25,2080.3,29.0,164.0,212.0,93.0,80.0,EQ,,HINDUNILVR,74390.0,74935.0,1416.94,67954.0,7.5
,12.5,2084.91,2093.25,,,2079.5,2079.45,2079.2,2078.75,2078.5,3.0,1.0,60.0,1.0,113.0,-13.80,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2079.45,1650.0,N,,,2097.95,-0.66,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2079.75,2079.8,2079.95,2080.0,2080.25,231.0,29.0,1.0,23.0,44.0,EQ,,HINDUNILVR,73386.0,74420.0,1493.0,71610.0,7.5
,12.5,2084.5,2093.25,,,2079.6,2079.5,2079.4,2079.35,2079.3,8.0,27.0,4.0,1.0,1.0,-13.80,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2079.45,1650.0,N,,,2097.95,-0.66,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2079.7,2080.0,2080.05,2080.35,2080.45,28.0,240.0,69.0,47.0,65.0,EQ,,HINDUNILVR,79937.0,79122.0,1606.21,77055.0,7.5
,12.5,2083.88,2093.25,,,2078.0,2077.35,2077.2,2077.05,2077.0,1252.0,138.0,68.0,88.0,117.0,-15.25,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2078.0,1650.0,N,,,2097.95,-0.73,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2078.3,2078.5,2078.6,2078.7,2078.75,2.0,21.0,18.0,100.0,163.0,EQ,,HINDUNILVR,85472.0,86855.0,1835.04,88059.0,7.5
,12.5,2083.67,2093.25,,,2076.6,2076.3,2076.15,2076.1,2076.05,6.0,1.0,35.0,75.0,80.0,-16.90,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2076.35,1650.0,N,,,2097.95,-0.81,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2076.9,2077.0,2077.05,2077.15,2077.2,23.0,51.0,103.0,12.0,124.0,EQ,,HINDUNILVR,82913.0,88390.0,1895.81,90984.0,7.5
,12.5,2083.18,2093.25,,,2076.3,2076.15,2076.1,2076.0,2075.95,21.0,4.0,3.0,149.0,1.0,-16.85,0.0,07-NOV-19,05-APR-19,149539.26,Hindustan Unilever Limited,Listed,0,0,0,2098.35,2073.85,824313.0,65.42,23-OCT-19,5.0,1.0,2190.0,,False,INE030A01027,2076.4,1650.0,N,,,2097.95,-0.80,2093.25,No Band,1883.95,2302.55,INTERIM DIVIDEND - RS 11 PER SH,1259986.0,24-OCT-19,27-Nov-2019 00:00:00,4.25,2076.4,2076.6,2076.65,2076.7,2076.75,102.0,51.0,500.0,10.0,40.0,EQ,,HINDUNILVR,86990.0,90327.0,2025.83,97247.0,7.5
