adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1718.79,1710.3,,,1715.35,,,,,581.0,,,,,9.5,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.56,1710.3,No Band,1539.3,1881.3,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1718.79,1710.3,,,1715.35,,,,,581.0,,,,,9.5,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.56,1710.3,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1718.79,1710.3,,,1715.35,,,,,581.0,,,,,9.5,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.56,1710.3,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1718.79,1710.3,,,1715.35,,,,,581.0,,,,,9.5,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.56,1710.3,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1718.79,1710.3,,,1715.35,,,,,581.0,,,,,9.5,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.56,1710.3,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1718.79,1710.3,,,1715.35,,,,,581.0,,,,,9.5,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.56,1710.3,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1718.79,1715.35,,,1715.35,,,,,581.0,,,,,4.45,1715.35,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1731.0,1704.6,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.8,1252.15,N,,,1714.0,0.26,1710.3,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,,,,,,,,,,,EQ,,ASIANPAINT,581.0,,15190.17,883771.0,7.5
,12.5,1714.96,1715.35,,,1711.05,1711.0,1710.8,1710.75,1710.6,59.0,101.0,31.0,91.0,22.0,-4.35,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.5,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1711.0,1252.15,N,,,1718.25,-0.25,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1711.95,1712.0,1712.05,1712.25,1712.4,25.0,29.0,66.0,600.0,48.0,EQ,,ASIANPAINT,64534.0,69823.0,364.19,21236.0,7.5
,12.5,1714.42,1715.35,,,1715.2,1715.0,1714.85,1714.6,1714.4,5.0,1.0,50.0,29.0,59.0,-0.35,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.5,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1715.0,1252.15,N,,,1718.25,-0.02,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1715.75,1715.8,1715.95,1716.0,1716.1,1.0,36.0,14.0,333.0,75.0,EQ,,ASIANPAINT,74925.0,77768.0,523.38,30528.0,7.5
,12.5,1714.48,1715.35,,,1715.0,1714.65,1714.5,1714.45,1714.4,616.0,10.0,48.0,3.0,46.0,-0.15,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.5,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1715.2,1252.15,N,,,1718.25,-0.01,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1715.5,1715.6,1715.65,1715.7,1715.85,50.0,5.0,17.0,250.0,14.0,EQ,,ASIANPAINT,76095.0,80001.0,556.98,32487.0,7.5
,12.5,1714.33,1715.35,,,1712.4,1712.25,1712.15,1712.1,1712.0,52.0,17.0,136.0,500.0,246.0,-2.90,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.5,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1712.45,1252.15,N,,,1718.25,-0.17,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1712.95,1713.15,1713.35,1713.4,1713.45,409.0,17.0,103.0,599.0,279.0,EQ,,ASIANPAINT,81063.0,85228.0,687.98,40131.0,7.5
,12.5,1713.95,1715.35,,,1711.0,1710.7,1710.65,1710.6,1710.55,1.0,18.0,46.0,48.0,29.0,-4.35,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.5,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1711.0,1252.15,N,,,1718.25,-0.25,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1711.4,1711.7,1711.8,1711.85,1712.1,16.0,17.0,14.0,75.0,69.0,EQ,,ASIANPAINT,84981.0,88665.0,789.74,46077.0,7.5
,12.5,1713.72,1715.35,,,1711.25,1711.0,1710.95,1710.9,1710.8,1.0,98.0,29.0,48.0,485.0,-3.85,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.5,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1711.5,1252.15,N,,,1718.25,-0.22,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1711.5,1711.55,1711.65,1711.95,1712.0,37.0,29.0,105.0,12.0,44.0,EQ,,ASIANPAINT,99296.0,101110.0,865.87,50526.0,7.5
,12.5,1713.35,1715.35,,,1709.0,1708.6,1708.5,1708.4,1708.35,417.0,5.0,36.0,73.0,207.0,-6.30,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.05,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1709.05,1252.15,N,,,1718.25,-0.37,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1709.05,1709.5,1709.7,1709.75,1709.95,97.0,107.0,5.0,79.0,19.0,EQ,,ASIANPAINT,99522.0,107590.0,948.78,55376.0,7.5
,12.5,1713.35,1715.35,,,1709.0,1708.6,1708.5,1708.4,1708.35,417.0,5.0,36.0,73.0,207.0,-6.30,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1708.05,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1709.05,1252.15,N,,,1718.25,-0.37,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1709.05,1709.5,1709.7,1709.75,1709.95,97.0,107.0,5.0,79.0,19.0,EQ,,ASIANPAINT,99522.0,107590.0,948.78,55376.0,7.5
,12.5,1712.58,1715.35,,,1706.65,1706.6,1706.55,1706.5,1706.4,335.0,600.0,42.0,104.0,50.0,-8.55,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1706.55,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1706.8,1252.15,N,,,1718.25,-0.50,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1706.8,1706.85,1707.3,1707.55,1707.6,103.0,5.0,79.0,80.0,18.0,EQ,,ASIANPAINT,104401.0,109759.0,1136.81,66380.0,7.5
,12.5,1712.42,1715.35,,,1713.45,1713.4,1713.35,1713.3,1713.25,23.0,1.0,29.0,55.0,46.0,-1.35,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1706.55,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1714.0,1252.15,N,,,1718.25,-0.08,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1714.0,1714.05,1714.2,1714.25,1714.3,11.0,80.0,94.0,60.0,43.0,EQ,,ASIANPAINT,112993.0,105445.0,1299.64,75895.0,7.5
,12.5,1713.1,1715.35,,,1719.4,1719.05,1718.95,1718.75,1718.7,9.0,24.0,1.0,2.0,2.0,4.05,0.0,31-OCT-19,11-DEC-18,77331.92,Asian Paints Limited,Listed,0,0,0,1724.35,1706.55,324525.0,36.72,30-OCT-19,5.0,1.0,1834.8,,False,INE021A01026,1719.4,1252.15,N,,,1718.25,0.24,1715.35,No Band,1543.85,1886.85,INTERIM DIVIDEND - RS 3.35 PER SH,883771.0,31-OCT-19,27-Nov-2019 00:00:00,4.8,1719.65,1719.7,1719.75,1719.8,1719.9,52.0,45.0,60.0,3.0,75.0,EQ,,ASIANPAINT,122653.0,105888.0,1584.53,92495.0,7.5
