adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,159.71,158.9,,,159.85,,,,,306.0,,,,,0.9,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,0.57,158.9,No Band,143.05,174.75,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.71,158.9,,,159.85,,,,,306.0,,,,,0.9,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,0.57,158.9,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.71,158.9,,,159.85,,,,,306.0,,,,,0.9,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,0.57,158.9,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.71,158.9,,,159.85,,,,,306.0,,,,,0.9,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,0.57,158.9,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.71,158.9,,,159.85,,,,,306.0,,,,,0.9,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,0.57,158.9,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.71,158.9,,,159.85,,,,,306.0,,,,,0.9,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,0.57,158.9,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.71,159.85,,,159.85,,,,,306.0,,,,,-0.05,159.85,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.45,158.25,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.8,77.65,N,,,158.8,-0.03,158.9,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,,,,,,,,,,,EQ,,MANAPPURAM,306.0,,2101.57,1315866.0,7.5
,12.5,159.68,159.85,,,159.5,159.45,159.4,159.35,159.3,2321.0,3789.0,505.0,6926.0,7917.0,-0.35,0.0,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.1,159.0,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,159.5,77.65,N,,,159.7,-0.22,159.85,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,159.75,159.8,159.85,159.9,159.95,627.0,2185.0,2632.0,3454.0,3423.0,EQ,,MANAPPURAM,399373.0,371718.0,93.51,58559.0,7.5
,12.5,159.94,159.85,,,160.15,160.1,160.05,160.0,159.95,9.0,4320.0,4019.0,3558.0,1213.0,0.35,0.0,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.75,159.0,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,160.2,77.65,N,,,159.7,0.22,159.85,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,160.2,160.3,160.35,160.4,160.45,1470.0,6449.0,8152.0,282.0,7855.0,EQ,,MANAPPURAM,428317.0,393694.0,191.7,119857.0,7.5
,12.5,160.09,159.85,,,160.6,160.55,160.5,160.45,160.4,3182.0,480.0,4896.0,2604.0,2951.0,0.75,0.0,04-NOV-19,06-DEC-18,8761.7,Manappuram Finance Limited,Listed,0,0,0,160.85,159.0,462523.0,35.15,19-NOV-19,5.0,2.0,173.8,,False,INE522D01027,160.6,77.65,N,,,159.7,0.47,159.85,No Band,143.9,175.8,INTERIM DIVIDEND - RS 0.55 PER SHARE,1315866.0,20-NOV-19,27-Nov-2019 00:00:00,7.3,160.7,160.75,160.8,160.85,160.9,3392.0,12000.0,9064.0,10111.0,7211.0,EQ,,MANAPPURAM,457253.0,410881.0,255.34,159500.0,7.5
