adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,554.75,557.15,27-AUG-19,21-AUG-19,,,,,,,,,,,-6.80,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-1.22,557.15,No Band,501.45,612.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,554.75,557.15,27-AUG-19,21-AUG-19,,,,,,,,,,,-6.80,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-1.22,557.15,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,554.75,557.15,27-AUG-19,21-AUG-19,,,,,,,,,,,-6.80,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-1.22,557.15,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,554.75,557.15,27-AUG-19,21-AUG-19,,,,,,,,,,,-6.80,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-1.22,557.15,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,554.75,557.15,27-AUG-19,21-AUG-19,,,,,,,,,,,-6.80,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-1.22,557.15,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,554.75,557.15,27-AUG-19,21-AUG-19,,,,,,,,,,,-6.80,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-1.22,557.15,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,554.75,551.45,27-AUG-19,21-AUG-19,,,,,,,,,,,-1.10,551.45,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,560.5,550.3,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,550.35,460.0,N,,,557.0,-0.20,557.15,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,551.45,,,,,1683.0,,,,,EQ,,CONCOR,,1683.0,7489.21,1350016.0,7.5
,12.5,552.93,551.45,27-AUG-19,21-AUG-19,552.75,552.65,552.6,552.55,552.5,13.0,54.0,54.0,141.0,500.0,1.3,0.0,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,554.4,551.9,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,552.75,460.0,N,,,552.5,0.24,551.45,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,553.0,553.2,553.25,553.3,553.45,68.0,12.0,103.0,54.0,122.0,EQ,,CONCOR,118871.0,125766.0,124.95,22598.0,7.5
,12.5,553.12,551.45,27-AUG-19,21-AUG-19,554.35,554.3,554.25,554.15,554.05,2.0,54.0,78.0,2.0,456.0,3.1,0.0,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,555.0,551.9,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,554.55,460.0,N,,,552.5,0.56,551.45,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,554.6,554.7,554.75,554.8,554.85,50.0,100.0,184.0,42.0,122.0,EQ,,CONCOR,131469.0,121468.0,153.29,27713.0,7.5
,12.5,553.77,551.45,27-AUG-19,21-AUG-19,554.8,554.65,554.6,554.5,554.45,1909.0,56.0,10.0,176.0,124.0,3.65,0.0,01-OCT-19,19-AUG-19,15119.79,Container Corporation of India Limited,Listed,0,0,0,555.95,551.9,650011.0,48.15,19-AUG-19,5.0,5.0,666.0,,False,INE111A01025,555.1,460.0,N,,,552.5,0.66,551.45,No Band,496.35,606.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE,1350016.0,,27-Nov-2019 00:00:00,6.26,555.0,555.1,555.15,555.2,555.25,154.0,383.0,210.0,289.0,228.0,EQ,,CONCOR,130969.0,128557.0,229.93,41520.0,7.5
