adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,709.1,866.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,709.1,866.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,787.85,07-AUG-19,31-JUL-19,,,,,,,,,,,4.65,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,0.59,787.85,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,791.74,792.55,07-AUG-19,31-JUL-19,,,,,,,,,,,-0.05,792.55,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,797.7,782.15,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,792.5,646.3,N,,,789.0,-0.01,787.85,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,,,,,,,,,,,EQ,,LUPIN,,,11365.17,1435468.0,7.5
,12.5,794.69,792.55,07-AUG-19,31-JUL-19,797.8,797.75,797.7,797.65,797.6,68.0,323.0,83.0,432.0,98.0,5.25,0.0,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,798.65,788.0,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,797.8,646.3,N,,,788.0,0.66,792.55,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,798.2,798.25,798.3,798.35,798.4,110.0,235.0,759.0,247.0,204.0,EQ,,LUPIN,126276.0,124977.0,587.43,73919.0,7.5
,12.5,795.02,792.55,07-AUG-19,31-JUL-19,796.35,796.3,796.25,796.2,796.15,138.0,127.0,81.0,277.0,551.0,4.15,0.0,04-DEC-18,07-OCT-19,19013.53,Lupin Limited,Listed,0,0,0,798.65,788.0,273109.0,19.03,29-JUL-19,5.0,2.0,906.0,,False,INE326A01037,796.7,646.3,N,,,788.0,0.52,792.55,No Band,713.3,871.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,1435468.0,,27-Nov-2019 00:00:00,5.96,796.7,796.8,796.85,796.9,796.95,8.0,198.0,137.0,88.0,75.0,EQ,,LUPIN,123764.0,140536.0,684.41,86087.0,7.5
