adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,130.25,129.3,28-AUG-19,23-AUG-19,,,,,,,,,,,1.75,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,1.35,129.3,No Band,116.4,142.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.25,129.3,28-AUG-19,23-AUG-19,,,,,,,,,,,1.75,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,1.35,129.3,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.25,129.3,28-AUG-19,23-AUG-19,,,,,,,,,,,1.75,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,1.35,129.3,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.25,129.3,28-AUG-19,23-AUG-19,,,,,,,,,,,1.75,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,1.35,129.3,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.25,129.3,28-AUG-19,23-AUG-19,,,,,,,,,,,1.75,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,1.35,129.3,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.25,129.3,28-AUG-19,23-AUG-19,,,,,,,,,,,1.75,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,1.35,129.3,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.25,131.1,28-AUG-19,23-AUG-19,,,,,,,,,,,-0.05,131.1,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.65,129.05,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,131.05,116.25,N,,,129.35,-0.04,129.3,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,131.1,,,,,2125.0,,,,,EQ,,IOC,,2125.0,8113.21,6228951.0,7.5
,12.5,130.75,131.1,28-AUG-19,23-AUG-19,130.4,130.35,130.3,130.25,130.2,84.0,341.0,4183.0,3466.0,4013.0,-0.55,0.0,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.0,130.35,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,130.55,116.25,N,,,130.95,-0.42,131.1,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,130.55,130.6,130.65,130.7,130.75,885.0,1468.0,798.0,752.0,1151.0,EQ,,IOC,341033.0,508748.0,33.16,25360.0,7.5
,12.5,130.54,131.1,28-AUG-19,23-AUG-19,130.4,130.35,130.3,130.25,130.2,260.0,3884.0,6047.0,2952.0,6070.0,-0.70,0.0,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.0,130.1,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,130.4,116.25,N,,,130.95,-0.53,131.1,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,130.5,130.55,130.6,130.65,130.7,2844.0,2977.0,11166.0,7719.0,7874.0,EQ,,IOC,522920.0,716253.0,220.87,169198.0,7.5
,12.5,130.54,131.1,28-AUG-19,23-AUG-19,130.6,130.55,130.5,130.45,130.4,5.0,5793.0,6119.0,11481.0,13075.0,-0.55,0.0,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.0,130.1,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,130.55,116.25,N,,,130.95,-0.42,131.1,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,130.65,130.7,130.75,130.8,130.85,85.0,7045.0,9362.0,10799.0,8220.0,EQ,,IOC,570709.0,725544.0,274.11,209984.0,7.5
,12.5,130.47,131.1,28-AUG-19,23-AUG-19,130.6,130.55,130.5,130.45,130.4,4952.0,2863.0,9437.0,4967.0,4963.0,-0.50,0.0,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.0,130.1,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,130.6,116.25,N,,,130.95,-0.38,131.1,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,130.7,130.75,130.8,130.85,130.9,10810.0,6720.0,11592.0,7395.0,5664.0,EQ,,IOC,711126.0,783820.0,656.9,503487.0,7.5
,12.5,130.52,131.1,28-AUG-19,23-AUG-19,130.85,130.8,130.75,130.7,130.65,4586.0,6712.0,5002.0,6317.0,9222.0,-0.25,0.0,03-JUN-19,03-SEP-19,32089.1,Indian Oil Corporation Limited,Listed,0,0,0,131.0,130.1,1954605.0,31.38,21-AUG-19,5.0,10.0,170.75,,False,INE242A01010,130.85,116.25,N,,,130.95,-0.19,131.1,No Band,118.0,144.2,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,6228951.0,,27-Nov-2019 00:00:00,6.03,130.9,130.95,131.0,131.05,131.1,751.0,8786.0,18862.0,8946.0,9532.0,EQ,,IOC,702880.0,835003.0,863.11,661284.0,7.5
