adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,116.02,116.65,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,-0.65,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,-0.56,116.65,No Band,105.0,128.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,116.02,116.65,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,-0.65,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,-0.56,116.65,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,116.02,116.65,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,-0.65,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,-0.56,116.65,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,116.02,116.65,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,-0.65,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,-0.56,116.65,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,116.02,116.65,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,-0.65,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,-0.56,116.65,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,116.02,116.65,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,-0.65,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,-0.56,116.65,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,116.02,115.75,21-AUG-19,15-AUG-19,115.75,,,,,5470.0,,,,,0.25,115.75,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,117.3,115.45,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,116.0,106.67,N,,,116.8,0.22,116.65,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,,,,,,,,,,,EQ,,NTPC,5470.0,,6329.5,5455521.0,7.5
,12.5,115.51,115.75,21-AUG-19,15-AUG-19,115.5,115.45,115.4,115.35,115.3,20270.0,3060.0,12194.0,16990.0,84820.0,-0.20,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.55,106.67,N,,,116.15,-0.17,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.55,115.6,115.65,115.7,115.75,679.0,2882.0,6297.0,14024.0,6644.0,EQ,,NTPC,956640.0,923220.0,367.6,318240.0,7.5
,12.5,115.52,115.75,21-AUG-19,15-AUG-19,115.5,115.45,115.4,115.35,115.3,5327.0,10213.0,22868.0,12395.0,88232.0,-0.20,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.55,106.67,N,,,116.15,-0.17,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.55,115.6,115.65,115.7,115.75,238.0,8463.0,11102.0,22306.0,13032.0,EQ,,NTPC,894906.0,988639.0,462.96,400763.0,7.5
,12.5,115.52,115.75,21-AUG-19,15-AUG-19,115.35,115.3,115.25,115.2,115.15,8562.0,84358.0,24322.0,18962.0,22101.0,-0.35,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.4,106.67,N,,,116.15,-0.30,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.4,115.45,115.5,115.55,115.6,2898.0,3631.0,13617.0,16026.0,13081.0,EQ,,NTPC,917139.0,1003353.0,575.8,498438.0,7.5
,12.5,115.5,115.75,21-AUG-19,15-AUG-19,115.35,115.3,115.25,115.2,115.15,1007.0,86592.0,31759.0,19660.0,19228.0,-0.35,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.4,106.67,N,,,116.15,-0.30,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.4,115.45,115.5,115.55,115.6,3439.0,13481.0,20167.0,19119.0,10028.0,EQ,,NTPC,952329.0,1029033.0,663.6,574545.0,7.5
,12.5,115.49,115.75,21-AUG-19,15-AUG-19,115.4,115.35,115.3,115.25,115.2,7461.0,42788.0,94355.0,34687.0,28208.0,-0.30,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.45,106.67,N,,,116.15,-0.26,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.45,115.5,115.55,115.6,115.65,4353.0,5644.0,10495.0,12528.0,18219.0,EQ,,NTPC,1099310.0,1079629.0,708.09,613114.0,7.5
,12.5,115.49,115.75,21-AUG-19,15-AUG-19,115.4,115.35,115.3,115.25,115.2,18700.0,31298.0,95962.0,33255.0,28208.0,-0.30,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.45,106.67,N,,,116.15,-0.26,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.45,115.5,115.55,115.6,115.65,1093.0,5284.0,10990.0,20025.0,18219.0,EQ,,NTPC,1147526.0,1084969.0,717.64,621387.0,7.5
,12.5,115.49,115.75,21-AUG-19,15-AUG-19,115.4,115.35,115.3,115.25,115.2,11841.0,26426.0,94823.0,31708.0,30614.0,-0.30,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.45,106.67,N,,,116.15,-0.26,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.45,115.5,115.55,115.6,115.65,1276.0,4159.0,10607.0,20140.0,23038.0,EQ,,NTPC,1272201.0,1279225.0,773.58,669828.0,7.5
,12.5,115.49,115.75,21-AUG-19,15-AUG-19,115.4,115.35,115.3,115.25,115.2,11841.0,26426.0,94823.0,31708.0,30614.0,-0.30,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.45,106.67,N,,,116.15,-0.26,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.45,115.5,115.55,115.6,115.65,1276.0,4159.0,10607.0,20140.0,23038.0,EQ,,NTPC,1272201.0,1279225.0,773.58,669828.0,7.5
,12.5,115.48,115.75,21-AUG-19,15-AUG-19,115.35,115.3,115.25,115.2,115.15,5075.0,81291.0,22326.0,36493.0,22268.0,-0.35,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.25,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.4,106.67,N,,,116.15,-0.30,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.4,115.45,115.5,115.55,115.6,1207.0,5047.0,20847.0,25787.0,18273.0,EQ,,NTPC,1264803.0,1305844.0,854.88,740282.0,7.5
,12.5,115.44,115.75,21-AUG-19,15-AUG-19,115.1,115.05,115.0,114.95,114.9,16571.0,38839.0,107861.0,18691.0,32716.0,-0.60,0.0,01-JUL-19,13-FEB-19,50392.98,NTPC Limited,Listed,0,0,0,116.25,115.1,2597688.0,47.62,13-AUG-19,5.0,10.0,145.85,,False,INE733E01010,115.15,106.67,N,,,116.15,-0.52,115.75,No Band,104.2,127.3,DIVIDEND - RS 2.50 PER SHARE,5455521.0,,27-Nov-2019 00:00:00,3.93,115.15,115.2,115.25,115.3,115.35,1076.0,2144.0,6396.0,9994.0,14410.0,EQ,,NTPC,1180077.0,1366056.0,1064.04,921728.0,7.5
