adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,389.15,475.55,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,389.15,475.55,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,432.35,,,433.35,,,,,18762.0,,,,,3.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.74,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,431.4,433.35,,,433.35,,,,,18762.0,,,,,2.2,433.35,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,437.0,426.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,435.55,258.72,N,,,433.5,0.51,432.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,,,,,,,,,,,EQ,,BHARTIARTL,18762.0,,57533.79,13336531.0,12.77
,17.77,433.71,433.35,,,434.8,434.75,434.7,434.65,434.6,193.0,206.0,1602.0,460.0,244.0,1.6,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,431.2,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,434.95,258.72,N,,,433.35,0.37,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,434.95,435.0,435.05,435.1,435.15,1218.0,2013.0,353.0,675.0,9607.0,EQ,,BHARTIARTL,345907.0,280333.0,1567.92,361514.0,12.77
,17.77,432.9,433.35,,,430.85,430.8,430.65,430.6,430.55,284.0,783.0,1416.0,540.0,1075.0,-2.50,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,430.85,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,430.85,258.72,N,,,433.35,-0.58,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,431.0,431.05,431.1,431.15,431.2,3103.0,276.0,1989.0,2579.0,6141.0,EQ,,BHARTIARTL,416334.0,409723.0,3216.85,743094.0,12.77
,17.77,432.6,433.35,,,430.45,430.4,430.3,430.25,430.2,188.0,370.0,12.0,1135.0,606.0,-2.70,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,430.65,258.72,N,,,433.35,-0.62,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,430.65,430.7,430.75,430.8,430.85,2206.0,688.0,2622.0,2921.0,7879.0,EQ,,BHARTIARTL,319646.0,432992.0,3671.49,848703.0,12.77
,17.77,432.39,433.35,,,430.75,430.7,430.6,430.55,430.5,238.0,3708.0,1656.0,399.0,2531.0,-2.55,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,430.8,258.72,N,,,433.35,-0.59,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,430.8,430.85,430.9,430.95,431.0,924.0,4503.0,578.0,5759.0,7213.0,EQ,,BHARTIARTL,348964.0,444568.0,4043.3,935104.0,12.77
,17.77,432.19,433.35,,,431.7,431.65,431.6,431.55,431.5,82.0,506.0,24.0,5.0,343.0,-1.65,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,431.7,258.72,N,,,433.35,-0.38,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,431.75,431.8,431.85,431.9,431.95,1769.0,2753.0,6135.0,4851.0,2842.0,EQ,,BHARTIARTL,392520.0,487991.0,4957.85,1147146.0,12.77
,17.77,432.13,433.35,,,430.8,430.7,430.65,430.6,430.55,4.0,70.0,330.0,1045.0,1174.0,-2.50,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,430.85,258.72,N,,,433.35,-0.58,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,430.9,430.95,431.0,431.05,431.1,2321.0,2278.0,5947.0,4406.0,5673.0,EQ,,BHARTIARTL,400038.0,527323.0,5294.25,1225152.0,12.77
,17.77,432.09,433.35,,,431.05,431.0,430.95,430.9,430.85,762.0,630.0,502.0,869.0,1424.0,-2.25,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,431.1,258.72,N,,,433.35,-0.52,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,431.1,431.2,431.25,431.3,431.35,44.0,553.0,3028.0,1861.0,2526.0,EQ,,BHARTIARTL,435216.0,529483.0,5452.79,1261957.0,12.77
,17.77,432.1,433.35,,,431.45,431.4,431.35,431.3,431.25,1.0,947.0,21.0,895.0,1895.0,-1.85,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,431.5,258.72,N,,,433.35,-0.43,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,431.5,431.55,431.6,431.65,431.7,115.0,150.0,1930.0,65.0,724.0,EQ,,BHARTIARTL,461839.0,521567.0,6054.97,1401289.0,12.77
,17.77,432.09,433.35,,,431.6,431.55,431.5,431.45,431.4,760.0,1.0,373.0,759.0,2314.0,-1.70,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,431.65,258.72,N,,,433.35,-0.39,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,431.65,431.7,431.75,431.8,431.85,13.0,832.0,10.0,12.0,688.0,EQ,,BHARTIARTL,467906.0,516643.0,6202.17,1435388.0,12.77
,17.77,432.14,433.35,,,432.55,432.5,432.45,432.4,432.35,727.0,237.0,1302.0,2134.0,1849.0,-0.65,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,432.7,258.72,N,,,433.35,-0.15,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,432.7,432.75,432.8,432.85,432.9,315.0,302.0,102.0,4335.0,6649.0,EQ,,BHARTIARTL,481748.0,471529.0,6959.78,1610538.0,12.77
,17.77,432.18,433.35,,,432.4,432.2,432.15,432.1,432.05,680.0,1061.0,1033.0,1425.0,2290.0,-0.90,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,432.45,258.72,N,,,433.35,-0.21,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,432.45,432.5,432.55,432.6,432.65,937.0,892.0,12.0,3898.0,2447.0,EQ,,BHARTIARTL,474156.0,457715.0,7369.22,1705128.0,12.77
,17.77,432.2,433.35,,,432.5,432.4,432.35,432.3,432.25,3.0,200.0,200.0,12.0,1033.0,-0.80,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,432.55,258.72,N,,,433.35,-0.18,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,432.55,432.6,432.65,432.7,432.75,247.0,1667.0,12.0,491.0,2475.0,EQ,,BHARTIARTL,501004.0,465986.0,8043.12,1860972.0,12.77
,17.77,432.34,433.35,,,433.5,433.45,433.4,433.35,433.3,1508.0,705.0,1627.0,1299.0,3374.0,0.35,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,433.7,258.72,N,,,433.35,0.08,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,433.7,433.75,433.8,433.85,433.9,472.0,1.0,71.0,1.0,2019.0,EQ,,BHARTIARTL,541556.0,446971.0,9094.06,2103451.0,12.77
,17.77,432.34,433.35,,,433.5,433.45,433.4,433.35,433.3,1508.0,705.0,1627.0,1299.0,3374.0,0.35,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,433.7,258.72,N,,,433.35,0.08,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,433.7,433.75,433.8,433.85,433.9,472.0,1.0,71.0,1.0,2019.0,EQ,,BHARTIARTL,541556.0,446971.0,9094.06,2103451.0,12.77
,17.77,432.37,433.35,,,432.75,432.7,432.65,432.6,432.55,35.0,951.0,21.0,702.0,355.0,-0.55,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,432.8,258.72,N,,,433.35,-0.13,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,432.8,432.85,432.9,432.95,433.0,188.0,22.0,790.0,532.0,1718.0,EQ,,BHARTIARTL,524003.0,466672.0,9424.2,2179662.0,12.77
,17.77,432.48,433.35,,,434.3,434.15,434.1,434.05,434.0,3.0,80.0,193.0,1236.0,999.0,1.0,0.0,25-NOV-19,11-DEC-18,82285.62,Bharti Airtel Limited,Listed,0,0,0,435.5,429.4,4742292.0,35.56,23-APR-19,5.0,5.0,455.65,,False,INE397D01024,434.35,258.72,N,,,433.35,0.23,433.35,No Band,390.05,476.65,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE,13336531.0,24-APR-19,27-Nov-2019 00:00:00,12.77,434.35,434.4,434.45,434.5,434.55,107.0,1570.0,534.0,2813.0,1826.0,EQ,,BHARTIARTL,554841.0,473460.0,10224.68,2364198.0,12.77
