adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3701.6,4524.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3701.6,4524.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4112.85,18-JUL-19,12-JUL-19,,,,,,,,,,,127.15,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,3.09,4112.85,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4213.11,4234.65,18-JUL-19,12-JUL-19,,,,,,,,,,,5.35,4234.65,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4250.0,4123.65,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4240.0,3332.45,N,,,4123.65,0.13,4112.85,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4234.65,,,,,227.0,,,,,EQ,,ULTRACEMCO,,227.0,26972.04,640193.0,7.5
,12.5,4257.63,4234.65,18-JUL-19,12-JUL-19,4267.4,4267.15,4265.3,4265.25,4265.2,4.0,1.0,7.0,7.0,2.0,32.75,0.0,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4270.5,4240.0,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4267.4,3332.45,N,,,4249.95,0.77,4234.65,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4268.0,4268.05,4268.3,4268.35,4268.5,10.0,15.0,2.0,16.0,25.0,EQ,,ULTRACEMCO,48282.0,42057.0,964.99,22665.0,7.5
,12.5,4258.97,4234.65,18-JUL-19,12-JUL-19,4261.55,4261.5,4261.4,4261.35,4261.0,3.0,96.0,1.0,40.0,172.0,26.85,0.0,27-MAY-19,28-JAN-19,47664.94,UltraTech Cement Limited,Listed,0,0,0,4270.5,4240.0,191357.0,29.89,10-JUL-19,5.0,10.0,4904.95,,False,INE481G01011,4261.5,3332.45,N,,,4249.95,0.63,4234.65,No Band,3811.2,4658.1,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,640193.0,,27-Nov-2019 00:00:00,5.93,4262.65,4262.75,4263.6,4263.65,4264.2,159.0,14.0,49.0,410.0,36.0,EQ,,ULTRACEMCO,54359.0,50341.0,1268.53,29785.0,7.5
