adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,18019.3,27028.9,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,18019.3,27028.9,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22524.1,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-149.10,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.66,22524.1,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22515.66,22383.05,14-AUG-19,10-AUG-19,22383.05,,,,,35.0,,,,,-8.05,22383.05,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22690.0,22369.05,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22375.0,16749.95,N,,,22690.0,-0.04,22524.1,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,,,,,,,,,,,EQ,,3MINDIA,35.0,,240.47,1068.0,7.5
,12.5,22445.37,22383.05,14-AUG-19,10-AUG-19,22393.05,22393.0,22386.85,22386.4,22383.0,1.0,1.0,2.0,2.0,5.0,9.7,0.0,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22498.0,22392.75,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22392.75,16749.95,N,,,22498.0,0.04,22383.05,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,22459.3,22459.35,22460.0,22460.05,22460.6,1.0,1.0,1.0,2.0,1.0,EQ,,3MINDIA,20162.0,2947.0,0.45,2.0,7.5
,12.5,22436.73,22383.05,14-AUG-19,10-AUG-19,22415.15,22415.1,22410.2,22410.15,22393.25,2.0,10.0,1.0,1.0,1.0,27.0,0.0,16-APR-19,16-SEP-19,6303.67,3M India Limited,Listed,0,0,0,22498.0,22392.75,851.0,79.68,08-AUG-19,5.0,10.0,25439.95,,False,INE470A01017,22410.05,16749.95,N,,,22498.0,0.12,22383.05,20.0,17906.45,26859.65,ANNUAL GENERAL MEETING,1068.0,,27-Nov-2019 00:00:00,6.61,22464.55,22464.6,22464.8,22498.95,22499.0,1.0,2.0,2.0,1.0,10.0,EQ,,3MINDIA,21770.0,4149.0,1.35,6.0,7.5
