adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.19,101.71,100.85,30-AUG-19,24-AUG-19,,,,,,,,,,,0.95,101.8,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.25,101.1,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.8,74.8,N,,,101.2,0.94,100.85,No Band,90.8,110.9,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,101.8,,,,,1547.0,,,,,EQ,,NMDC,,1547.0,1526.32,1500662.0,9.19
,14.19,101.71,100.85,30-AUG-19,24-AUG-19,,,,,,,,,,,0.95,101.8,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.25,101.1,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.8,74.8,N,,,101.2,0.94,100.85,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,101.8,,,,,1547.0,,,,,EQ,,NMDC,,1547.0,1526.32,1500662.0,9.19
,14.19,101.71,100.85,30-AUG-19,24-AUG-19,,,,,,,,,,,0.95,101.8,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.25,101.1,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.8,74.8,N,,,101.2,0.94,100.85,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,101.8,,,,,1547.0,,,,,EQ,,NMDC,,1547.0,1526.32,1500662.0,9.19
,14.19,101.71,100.85,30-AUG-19,24-AUG-19,,,,,,,,,,,0.95,101.8,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.25,101.1,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.8,74.8,N,,,101.2,0.94,100.85,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,101.8,,,,,1547.0,,,,,EQ,,NMDC,,1547.0,1526.32,1500662.0,9.19
,14.19,101.71,100.85,30-AUG-19,24-AUG-19,,,,,,,,,,,0.95,101.8,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.25,101.1,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.8,74.8,N,,,101.2,0.94,100.85,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,101.8,,,,,1547.0,,,,,EQ,,NMDC,,1547.0,1526.32,1500662.0,9.19
,14.19,101.71,100.85,30-AUG-19,24-AUG-19,,,,,,,,,,,0.95,101.8,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.25,101.1,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.8,74.8,N,,,101.2,0.94,100.85,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,101.8,,,,,1547.0,,,,,EQ,,NMDC,,1547.0,1526.32,1500662.0,9.19
,14.19,102.38,101.8,30-AUG-19,24-AUG-19,102.1,102.05,102.0,101.9,101.85,879.0,1000.0,1093.0,927.0,2003.0,0.45,0.0,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.4,102.0,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,102.25,74.8,N,,,102.4,0.44,101.8,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,102.25,102.3,102.35,102.4,102.5,4802.0,166.0,489.0,13423.0,5001.0,EQ,,NMDC,124191.0,120683.0,5.91,5770.0,9.19
,14.19,102.1,101.8,30-AUG-19,24-AUG-19,101.9,101.85,101.8,101.75,101.7,807.0,1749.0,7622.0,1236.0,8657.0,0.1,0.0,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.4,101.8,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,101.9,74.8,N,,,102.4,0.1,101.8,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,102.0,102.05,102.1,102.15,102.2,2157.0,1615.0,9329.0,8575.0,15326.0,EQ,,NMDC,553631.0,500569.0,60.79,59543.0,9.19
,14.19,102.09,101.8,30-AUG-19,24-AUG-19,102.1,102.05,102.0,101.95,101.9,1.0,5477.0,17030.0,13309.0,14421.0,0.3,0.0,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.4,101.8,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,102.1,74.8,N,,,102.4,0.29,101.8,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,102.2,102.25,102.3,102.35,102.4,3583.0,3062.0,3883.0,5821.0,19027.0,EQ,,NMDC,581106.0,530711.0,68.69,67288.0,9.19
,14.19,102.21,101.8,30-AUG-19,24-AUG-19,102.3,102.25,102.2,102.15,102.1,1073.0,2858.0,13260.0,7404.0,8428.0,0.55,0.0,03-JUL-19,23-AUG-19,8727.5,NMDC Limited,Listed,0,0,0,102.6,101.8,383695.0,25.57,22-AUG-19,5.0,1.0,120.55,,False,INE584A01023,102.35,74.8,N,,,102.4,0.54,101.8,No Band,91.65,111.95,ANNUAL GENERAL MEETING,1500662.0,,27-Nov-2019 00:00:00,9.19,102.35,102.4,102.45,102.5,102.55,58.0,2475.0,6053.0,12798.0,8233.0,EQ,,NMDC,627940.0,562139.0,131.62,128771.0,9.19
