adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,26-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1153.05,N,,,1604.95,1.07,1604.4,No Band,1444.0,1764.8,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,26-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1153.05,N,,,1604.95,1.07,1604.4,No Band,1444.0,1764.8,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,1.07,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,1.07,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,1.07,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,1.07,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,1.07,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1604.4,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,17.15,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,1.07,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1618.15,1617.9,22-JUL-19,16-JUL-19,1617.9,,,,,165.0,,,,,3.65,1617.9,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1624.0,1601.7,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.55,1157.0,N,,,1604.95,0.23,1604.4,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,,,,,,,,,,,EQ,,KOTAKBANK,165.0,,33024.55,2040883.0,7.5
,12.5,1623.84,1617.9,22-JUL-19,16-JUL-19,1625.8,1625.65,1625.6,1625.1,1625.05,29.0,1.0,26.0,346.0,24.0,7.9,0.0,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1626.1,1615.15,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1625.8,1157.0,N,,,1617.0,0.49,1617.9,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,1625.85,1625.9,1625.95,1626.0,1626.05,30.0,24.0,83.0,54.0,22.0,EQ,,KOTAKBANK,208753.0,79116.0,1209.35,74475.0,7.5
,12.5,1624.13,1617.9,22-JUL-19,16-JUL-19,1625.25,1625.1,1624.75,1624.6,1624.5,4.0,1.0,52.0,30.0,21.0,7.2,0.0,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1626.1,1615.15,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1625.1,1157.0,N,,,1617.0,0.45,1617.9,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,1625.35,1625.4,1625.45,1625.5,1625.65,100.0,1.0,14.0,866.0,3.0,EQ,,KOTAKBANK,217393.0,97774.0,1615.65,99478.0,7.5
,12.5,1623.89,1617.9,22-JUL-19,16-JUL-19,1621.35,1621.3,1621.25,1621.2,1621.05,11.0,91.0,155.0,273.0,295.0,3.45,0.0,26-SEP-19,29-NOV-18,216292.13,Kotak Mahindra Bank Limited,Listed,0,0,0,1626.1,1615.15,1013154.0,49.64,12-JUL-19,5.0,5.0,1683.95,,False,INE237A01028,1621.35,1157.0,N,,,1617.0,0.21,1617.9,No Band,1456.15,1779.65,ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2040883.0,,27-Nov-2019 00:00:00,4.54,1621.95,1622.0,1622.1,1622.2,1622.25,400.0,30.0,30.0,15.0,22.0,EQ,,KOTAKBANK,226399.0,114229.0,2077.0,127903.0,7.5
