adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,26-NOV-18,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1006.03,N,,,1276.0,0.28,1275.05,No Band,1147.55,1402.55,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,26-NOV-18,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1006.03,N,,,1276.0,0.28,1275.05,No Band,1147.55,1402.55,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,26-NOV-18,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1006.03,N,,,1276.0,0.28,1275.05,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1011.0,N,,,1276.0,0.28,1275.05,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1011.0,N,,,1276.0,0.28,1275.05,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1011.0,N,,,1276.0,0.28,1275.05,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1275.05,,,,,,,,,,,,,3.55,1278.4,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1011.0,N,,,1276.0,0.28,1275.05,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1277.73,1278.4,,,,,,,,,,,,,0.2,1278.4,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1285.75,1271.2,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1278.6,1011.0,N,,,1276.0,0.02,1275.05,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1278.4,,,,,662.0,,,,,EQ,,HDFCBANK,,662.0,61207.52,4790333.0,7.5
,12.5,1279.01,1278.4,,,1276.0,1275.8,1275.75,1275.7,1275.65,21.0,23.0,55.0,25.0,146.0,-2.40,0.0,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1283.05,1275.1,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1276.0,1011.0,N,,,1280.2,-0.19,1278.4,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1276.1,1276.15,1276.2,1276.35,1276.4,24.0,319.0,72.0,116.0,348.0,EQ,,HDFCBANK,168193.0,262970.0,3404.99,266221.0,7.5
,12.5,1278.82,1278.4,,,1276.55,1276.35,1276.3,1276.2,1276.15,25.0,548.0,392.0,407.0,500.0,-1.75,0.0,21-NOV-19,31-JAN-19,552512.14,HDFC Bank Limited,Listed,0,0,0,1283.05,1275.1,3146643.0,65.69,19-SEP-19,5.0,1.0,1287.0,,False,INE040A01034,1276.65,1011.0,N,,,1280.2,-0.14,1278.4,No Band,1150.6,1406.2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,4790333.0,20-SEP-19,27-Nov-2019 00:00:00,4.02,1276.65,1276.8,1276.9,1277.0,1277.1,7.0,3.0,110.0,556.0,247.0,EQ,,HDFCBANK,184096.0,285946.0,3682.96,287997.0,7.5
