adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,477.91,490.4,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,441.4,539.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,490.4,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,490.4,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,490.4,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,490.4,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,490.4,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,10.5,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,2.14,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,477.91,492.5,05-AUG-19,30-JUL-19,492.5,,,,,19935.0,,,,,8.4,492.5,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,503.35,466.8,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,500.9,285.2,N,,,484.0,1.71,490.4,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,,,,,,,,,,,EQ,,BERGEPAINT,19935.0,,18387.24,3847427.0,7.5
,12.5,486.39,492.5,05-AUG-19,30-JUL-19,484.7,484.65,484.55,484.5,484.45,173.0,75.0,410.0,160.0,206.0,-7.55,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,488.1,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,484.95,285.2,N,,,488.0,-1.53,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,484.95,485.0,485.1,485.2,485.25,9.0,2211.0,173.0,1365.0,1098.0,EQ,,BERGEPAINT,193441.0,181191.0,588.45,120983.0,7.5
,12.5,486.2,492.5,05-AUG-19,30-JUL-19,486.1,486.05,486.0,485.9,485.85,78.0,52.0,120.0,102.0,47.0,-6.40,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,488.1,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,486.1,285.2,N,,,488.0,-1.30,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,486.4,486.45,486.5,486.55,486.6,366.0,372.0,591.0,450.0,271.0,EQ,,BERGEPAINT,216473.0,182977.0,755.26,155339.0,7.5
,12.5,486.21,492.5,05-AUG-19,30-JUL-19,486.75,486.7,486.6,486.55,486.5,216.0,174.0,367.0,74.0,143.0,-5.35,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,488.1,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,487.15,285.2,N,,,488.0,-1.09,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,487.15,487.2,487.25,487.3,487.35,17.0,89.0,70.0,331.0,500.0,EQ,,BERGEPAINT,223857.0,409418.0,838.49,172455.0,7.5
,12.5,486.26,492.5,05-AUG-19,30-JUL-19,486.05,486.0,485.85,485.8,485.7,10.0,1.0,68.0,198.0,362.0,-6.15,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,488.1,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,486.35,285.2,N,,,488.0,-1.25,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,486.3,486.35,486.4,486.5,486.55,84.0,18.0,872.0,637.0,82.0,EQ,,BERGEPAINT,228134.0,819726.0,944.02,194139.0,7.5
,12.5,486.58,492.5,05-AUG-19,30-JUL-19,488.45,488.35,488.3,488.25,488.2,59.0,226.0,81.0,313.0,188.0,-4.05,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,489.7,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,488.45,285.2,N,,,488.0,-0.82,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,488.75,488.8,488.85,488.9,488.95,58.0,76.0,87.0,515.0,49.0,EQ,,BERGEPAINT,252524.0,827344.0,1244.19,255701.0,7.5
,12.5,486.75,492.5,05-AUG-19,30-JUL-19,488.65,488.45,488.3,488.25,488.2,4.0,151.0,548.0,342.0,623.0,-4.00,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,489.7,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,488.5,285.2,N,,,488.0,-0.81,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,488.75,488.8,488.85,488.9,488.95,66.0,892.0,1.0,10.0,207.0,EQ,,BERGEPAINT,278338.0,862676.0,1345.81,276489.0,7.5
,12.5,486.95,492.5,05-AUG-19,30-JUL-19,487.95,487.85,487.8,487.75,487.7,288.0,102.0,137.0,305.0,18.0,-4.25,0.0,31-OCT-19,18-FEB-19,11957.03,Berger Paints (I) Limited,Listed,0,0,0,489.7,483.95,801287.0,20.83,26-JUL-19,5.0,1.0,533.75,,False,INE463A01038,488.25,285.2,N,,,488.0,-0.86,492.5,No Band,443.25,541.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE,3847427.0,,27-Nov-2019 00:00:00,7.11,488.3,488.35,488.4,488.45,488.5,18.0,275.0,394.0,427.0,451.0,EQ,,BERGEPAINT,283780.0,870302.0,1544.78,317236.0,7.5
