adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.06,314.65,310.9,30-JUL-19,24-JUL-19,,,,,,,,,,,3.9,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,1.25,310.9,No Band,279.85,341.95,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.65,310.9,30-JUL-19,24-JUL-19,,,,,,,,,,,3.9,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,1.25,310.9,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.65,310.9,30-JUL-19,24-JUL-19,,,,,,,,,,,3.9,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,1.25,310.9,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.65,310.9,30-JUL-19,24-JUL-19,,,,,,,,,,,3.9,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,1.25,310.9,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.65,310.9,30-JUL-19,24-JUL-19,,,,,,,,,,,3.9,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,1.25,310.9,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.65,310.9,30-JUL-19,24-JUL-19,,,,,,,,,,,3.9,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,1.25,310.9,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.65,315.3,30-JUL-19,24-JUL-19,,,,,,,,,,,-0.50,315.3,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,320.1,307.5,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,314.8,218.2,N,,,311.0,-0.16,310.9,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,,,,,684.0,,,,,EQ,,CHOLAFIN,,684.0,8225.24,2614091.0,9.06
,14.06,314.88,315.3,30-JUL-19,24-JUL-19,315.75,315.7,315.65,315.55,315.5,142.0,30.0,71.0,71.0,35.0,0.7,0.0,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,316.0,314.15,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,316.0,218.2,N,,,314.2,0.22,315.3,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,316.0,316.45,316.5,316.6,316.65,227.0,95.0,1.0,30.0,164.0,EQ,,CHOLAFIN,20556.0,45395.0,7.47,2373.0,9.06
,14.06,315.69,315.3,30-JUL-19,24-JUL-19,315.0,314.9,314.8,314.75,314.65,128.0,63.0,114.0,95.0,285.0,-0.30,0.0,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,316.55,314.15,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,315.0,218.2,N,,,314.2,-0.10,315.3,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,315.35,315.4,315.45,315.5,311.0,71.0,125.0,125.0,178.0,EQ,,CHOLAFIN,155187.0,175681.0,36.45,11545.0,9.06
,14.06,315.69,315.3,30-JUL-19,24-JUL-19,315.0,314.9,314.8,314.75,314.65,128.0,63.0,114.0,95.0,285.0,-0.30,0.0,18-NOV-19,30-JAN-19,11586.1,Cholamandalam Investment and Finance Company Limited,Listed,0,0,0,316.55,314.15,730177.0,27.93,22-JUL-19,5.0,2.0,333.55,,False,INE121A01024,315.0,218.2,N,,,314.2,-0.10,315.3,No Band,283.8,346.8,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE,2614091.0,,27-Nov-2019 00:00:00,9.06,315.3,315.35,315.4,315.45,315.5,311.0,71.0,125.0,125.0,178.0,EQ,,CHOLAFIN,155187.0,175681.0,36.45,11545.0,9.06
