adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1336.45,1633.35,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1491.5,1484.9,,,,,,,,,,,,,9.1,1493.9,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1506.9,1480.9,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1494.0,1030.6,N,,,1484.0,0.61,1484.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.9,,,,,7.0,,,,,EQ,,NIITTECH,,7.0,1153.3,77325.0,7.5
,12.5,1493.13,1493.9,,,1493.0,1492.15,1492.1,1491.9,1491.1,9.0,32.0,8.0,67.0,40.0,-0.25,0.0,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1498.0,1488.0,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1493.65,1030.6,N,,,1490.0,-0.02,1493.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1493.6,1493.65,1493.7,1493.9,1494.35,20.0,517.0,40.0,33.0,77.0,EQ,,NIITTECH,33664.0,30404.0,77.63,5199.0,7.5
,12.5,1492.98,1493.9,,,1490.25,1490.2,1490.1,1490.05,1490.0,15.0,50.0,10.0,40.0,1.0,-3.60,0.0,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1498.15,1488.0,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1490.3,1030.6,N,,,1490.0,-0.24,1493.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1491.2,1491.25,1491.45,1491.75,1491.8,66.0,28.0,11.0,144.0,49.0,EQ,,NIITTECH,37956.0,34365.0,114.15,7646.0,7.5
,12.5,1492.98,1493.9,,,1490.25,1490.2,1490.1,1490.05,1490.0,15.0,50.0,10.0,40.0,1.0,-3.60,0.0,04-NOV-19,11-DEC-18,5967.75,NIIT Technologies Limited,Listed,0,0,0,1498.15,1488.0,14977.0,19.37,04-NOV-19,5.0,10.0,1595.5,,False,INE591G01017,1490.3,1030.6,N,,,1490.0,-0.24,1493.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 10 PER SH,77325.0,05-NOV-19,27-Nov-2019 00:00:00,6.29,1491.2,1491.25,1491.45,1491.75,1491.8,66.0,28.0,11.0,144.0,49.0,EQ,,NIITTECH,37956.0,34365.0,114.15,7646.0,7.5
