adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
7.25,21.58,82.12,80.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,1.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,1.42,80.8,No Band,72.75,88.85,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,82.12,80.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,1.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,1.42,80.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,82.12,80.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,1.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,1.42,80.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,82.12,80.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,1.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,1.42,80.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,82.12,80.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,1.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,1.42,80.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,82.12,80.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,1.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,1.42,80.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,82.12,81.8,31-JUL-19,25-JUL-19,81.8,,,,,9151.0,,,,,0.15,81.8,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,83.4,80.8,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.95,56.95,N,,,83.0,0.18,80.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,,,,,,,,,,,EQ,,ASHOKLEY,9151.0,,23291.01,28362167.0,9.33
7.25,21.58,81.92,81.8,31-JUL-19,25-JUL-19,81.75,81.7,81.65,81.6,81.55,93.0,8680.0,15333.0,18354.0,12365.0,-0.05,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.6,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.75,56.95,N,,,82.2,-0.06,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.8,81.85,81.9,81.95,82.0,5581.0,15996.0,17572.0,16334.0,30936.0,EQ,,ASHOKLEY,1029480.0,1478059.0,400.65,489073.0,9.33
7.25,21.58,81.77,81.8,31-JUL-19,25-JUL-19,81.6,81.55,81.5,81.45,81.4,10425.0,36826.0,27740.0,27991.0,25329.0,-0.20,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.45,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.6,56.95,N,,,82.2,-0.24,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.65,81.7,81.75,81.8,81.85,2407.0,19402.0,28393.0,13993.0,33053.0,EQ,,ASHOKLEY,1250328.0,1674982.0,927.32,1134065.0,9.33
7.25,21.58,81.77,81.8,31-JUL-19,25-JUL-19,81.6,81.55,81.5,81.45,81.4,10425.0,36826.0,27740.0,27991.0,25329.0,-0.20,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.45,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.6,56.95,N,,,82.2,-0.24,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.65,81.7,81.75,81.8,81.85,2407.0,19402.0,28393.0,13993.0,33053.0,EQ,,ASHOKLEY,1250328.0,1674982.0,927.32,1134065.0,9.33
7.25,21.58,81.58,81.8,31-JUL-19,25-JUL-19,81.15,81.1,81.05,81.0,80.95,5689.0,21062.0,26095.0,110384.0,18784.0,-0.65,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.1,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.15,56.95,N,,,82.2,-0.79,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.2,81.25,81.3,81.35,81.4,5021.0,18048.0,14450.0,25428.0,14524.0,EQ,,ASHOKLEY,1298112.0,1996569.0,1720.43,2108890.0,9.33
7.25,21.58,81.55,81.8,31-JUL-19,25-JUL-19,81.25,81.2,81.15,81.1,81.05,4298.0,40850.0,37492.0,51316.0,53254.0,-0.50,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.1,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.3,56.95,N,,,82.2,-0.61,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.3,81.35,81.4,81.45,81.5,7983.0,17694.0,29296.0,24450.0,51603.0,EQ,,ASHOKLEY,1784905.0,2355382.0,1878.84,2303909.0,9.33
7.25,21.58,81.47,81.8,31-JUL-19,25-JUL-19,81.2,81.15,81.1,81.05,81.0,4194.0,20503.0,34613.0,34992.0,137717.0,-0.60,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.1,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.2,56.95,N,,,82.2,-0.73,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.25,81.3,81.35,81.4,81.45,18003.0,20462.0,21306.0,43253.0,26958.0,EQ,,ASHOKLEY,1808589.0,2463076.0,2492.43,3059319.0,9.33
7.25,21.58,81.46,81.8,31-JUL-19,25-JUL-19,81.15,81.1,81.05,81.0,80.95,17828.0,28777.0,24457.0,151353.0,23618.0,-0.65,0.0,30-NOV-18,23-AUG-19,11766.18,Ashok Leyland Limited,Listed,0,0,0,82.3,81.1,3771032.0,13.3,23-JUL-19,5.0,1.0,112.65,,False,INE208A01029,81.15,56.95,N,,,82.2,-0.79,81.8,No Band,73.65,89.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE,28362167.0,,27-Nov-2019 00:00:00,9.33,81.2,81.25,81.3,81.35,81.4,3881.0,11260.0,20654.0,25137.0,49215.0,EQ,,ASHOKLEY,1819280.0,2479318.0,2586.73,3175457.0,9.33
