adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1037.66,1026.5,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,12.5,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,1.22,1026.5,No Band,923.85,1129.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1037.66,1026.5,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,12.5,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,1.22,1026.5,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1037.66,1026.5,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,12.5,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,1.22,1026.5,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1037.66,1026.5,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,12.5,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,1.22,1026.5,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1037.66,1026.5,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,12.5,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,1.22,1026.5,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1037.66,1026.5,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,12.5,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,1.22,1026.5,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1037.66,1038.65,09-SEP-19,03-SEP-19,1038.65,,,,,612.0,,,,,0.35,1038.65,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.0,1026.6,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1039.0,754.15,N,,,1026.6,0.03,1026.5,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,,,,,,,,,,,EQ,,MGL,612.0,,2680.5,258322.0,7.5
,12.5,1041.82,1038.65,09-SEP-19,03-SEP-19,1044.05,1044.0,1043.55,1043.3,1043.25,113.0,92.0,28.0,60.0,56.0,6.0,0.0,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1044.65,1038.0,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1044.65,754.15,N,,,1038.0,0.58,1038.65,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,1044.65,1044.75,1045.0,1045.6,1045.75,190.0,10.0,568.0,56.0,30.0,EQ,,MGL,49969.0,72396.0,56.19,5393.0,7.5
,12.5,1046.04,1038.65,09-SEP-19,03-SEP-19,1047.0,1046.8,1046.75,1046.7,1046.65,20.0,100.0,48.0,30.0,47.0,9.0,0.0,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1049.2,1038.0,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1047.65,754.15,N,,,1038.0,0.87,1038.65,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,1047.65,1047.8,1047.95,1048.0,1048.05,27.0,4.0,65.0,105.0,93.0,EQ,,MGL,54665.0,81188.0,200.57,19174.0,7.5
,12.5,1046.84,1038.65,09-SEP-19,03-SEP-19,1049.15,1049.1,1048.65,1048.55,1048.4,29.0,60.0,47.0,120.0,28.0,10.5,0.0,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1050.0,1038.0,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1049.15,754.15,N,,,1038.0,1.01,1038.65,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,1049.45,1049.5,1049.7,1049.8,1049.85,600.0,550.0,45.0,23.0,16.0,EQ,,MGL,56940.0,85492.0,267.47,25550.0,7.5
,12.5,1047.22,1038.65,09-SEP-19,03-SEP-19,1049.65,1049.6,1049.55,1049.4,1049.1,89.0,28.0,93.0,36.0,71.0,11.0,0.0,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1050.0,1038.0,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1049.65,754.15,N,,,1038.0,1.06,1038.65,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,1049.9,1050.0,1050.25,1050.4,1050.5,47.0,14568.0,47.0,76.0,30.0,EQ,,MGL,59420.0,87283.0,316.68,30240.0,7.5
,12.5,1049.16,1038.65,09-SEP-19,03-SEP-19,1052.35,1052.15,1052.1,1052.05,1052.0,112.0,30.0,45.0,218.0,466.0,13.7,0.0,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1053.15,1038.0,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1052.35,754.15,N,,,1038.0,1.32,1038.65,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,1052.8,1052.85,1052.9,1053.0,1053.1,600.0,3.0,90.0,70.0,19.0,EQ,,MGL,173026.0,76850.0,647.7,61735.0,7.5
,12.5,1049.84,1038.65,09-SEP-19,03-SEP-19,1051.65,1051.6,1051.55,1051.5,1051.4,86.0,111.0,45.0,10.0,23.0,13.7,0.0,29-MAR-19,22-JUL-19,4924.59,Mahanagar Gas Limited,Listed,0,0,0,1053.15,1038.0,56499.0,21.87,29-AUG-19,5.0,10.0,1067.25,,False,INE002S01010,1052.35,754.15,N,,,1038.0,1.32,1038.65,No Band,934.8,1142.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 10.50 PER SHARE,258322.0,,27-Nov-2019 00:00:00,6.67,1052.1,1052.4,1052.45,1052.5,1052.6,1.0,22.0,32.0,61.0,1.0,EQ,,MGL,181018.0,92217.0,838.01,79823.0,7.5
