adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.8,40.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.8,40.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,36.4,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,-0.60,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,-1.65,36.4,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.89,35.75,23-SEP-19,16-SEP-19,35.75,,,,,6791.0,,,,,0.05,35.75,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.75,35.5,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.8,28.5,N,,,36.4,0.14,36.4,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,,,,,,,,,,,EQ,,NBCC,6791.0,,4545.55,12665222.0,11.74
1.69,19.27,35.8,35.75,23-SEP-19,16-SEP-19,35.85,35.8,35.75,35.7,35.65,20810.0,18502.0,10192.0,6132.0,29017.0,0.1,0.0,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,35.9,35.75,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,35.85,28.5,N,,,35.8,0.28,35.75,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,35.9,35.95,36.0,36.05,36.1,6413.0,500.0,96041.0,32315.0,11153.0,EQ,,NBCC,556180.0,597558.0,17.33,48402.0,11.74
1.69,19.27,35.95,35.75,23-SEP-19,16-SEP-19,36.05,36.0,35.95,35.9,35.85,19215.0,62374.0,38071.0,70420.0,21787.0,0.4,0.0,19-MAR-19,23-AUG-19,2059.2,NBCC (India) Limited,Listed,0,0,0,36.2,35.65,2503291.0,19.77,12-SEP-19,5.84,1.0,68.3,,False,INE095N01031,36.15,28.5,N,,,35.8,1.12,35.75,No Band,32.2,39.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE,12665222.0,,27-Nov-2019 00:00:00,11.74,36.15,36.2,36.25,36.3,36.35,3352.0,33557.0,54113.0,64240.0,27918.0,EQ,,NBCC,1347726.0,1191711.0,270.14,751436.0,11.74
